id,refshort,reference,year_of_sample,year_of_publication,country,climate,continent,sphere_fragment,sphere_matrix,biome,taxa,fragment_id,plot_id,fragment_plot_comb,fragment_area,longitude,latitude,sampling_design,control_cont_frag,patch_type,sampling_method,method_category,sampling_device_size,device_size_unit,intensity,intensity_unit,block_type,number_of_blocks_per_site,sampling_density,density_unit,sampling_duration,duration_unit,sampling_effort,sampling_effort_unit,sampling_note
1,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_1,1,Fragment_1_1,16,-41.10111,-21.32694,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
2,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_2,1,Fragment_2_1,5.5,-41.111456,-21.36344,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
3,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_3,1,Fragment_3_1,4,-41.917968,-21.374098,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
4,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_4,1,Fragment_4_1,7.6,-41.919739,-21.386904,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
5,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_5,1,Fragment_5_1,2,-41.92537,-21.3911,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
6,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_6,1,Fragment_6_1,6.6,-41.92652,-21.3822,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
7,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_7,1,Fragment_7_1,14,-42.06556,-22.0722,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
8,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_8,1,Fragment_8_1,12,-42.06667,-22.0769,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
9,Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",2007,no,Brazil,Tropical,South America,terrestrial,terrestrial,forest,Insecta,Fragment_9,1,Fragment_9_1,18,-42.07833,-22.0753,standardized_fragment,no,NA,trap,scented traps,NA,NA,5,traps per trap-array,trap-array,1,2,m apart,60,total hours,1,balanced,60 total hours of sampling with scented traps.  5 chemical compounds.  May 2005-May 2007.
10,Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.",1990,no,Argentina,Temperate,South America,terrestrial,terrestrial,forest,Insecta,CON_C,1,CON_C_1,continuous,-65.258565,-26.569439,standardized_fragment,yes,continuous,trap,pan traps,21,cm diameter,5,traps per transect,transect,4,5,m apart,3,trapping sessions of 8 hours each per trap per site,1,balanced,4 transects of 5 pan traps placed 5 m apart.
11,Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.",1990,no,Argentina,Temperate,South America,terrestrial,terrestrial,forest,Insecta,CON_C,2,CON_C_2,continuous,-65.258565,-26.569439,standardized_fragment,yes,continuous,trap,pan traps,21,cm diameter,5,traps per transect,transect,4,5,m apart,3,trapping sessions of 8 hours each per trap per site,1,balanced,4 transects of 5 pan traps placed 5 m apart.
12,Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.",1990,no,Argentina,Temperate,South America,terrestrial,terrestrial,forest,Insecta,CON_C,3,CON_C_3,continuous,-65.258565,-26.569439,standardized_fragment,yes,continuous,trap,pan traps,21,cm diameter,5,traps per transect,transect,4,5,m apart,3,trapping sessions of 8 hours each per trap per site,1,balanced,4 transects of 5 pan traps placed 5 m apart.
13,Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.",1990,no,Argentina,Temperate,South America,terrestrial,terrestrial,forest,Insecta,CON_L,1,CON_L_1,3.2,-65.270481,-26.572663,standardized_fragment,yes,fragmented,trap,pan traps,21,cm diameter,5,traps per transect,transect,4,5,m apart,3,trapping sessions of 8 hours each per trap per site,1,balanced,4 transects of 5 pan traps placed 5 m apart.
14,Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.",1990,no,Argentina,Temperate,South America,terrestrial,terrestrial,forest,Insecta,CON_L,2,CON_L_2,3.2,-65.270481,-26.572663,standardized_fragment,yes,fragmented,trap,pan traps,21,cm diameter,5,traps per transect,transect,4,5,m apart,3,trapping sessions of 8 hours each per trap per site,1,balanced,4 transects of 5 pan traps placed 5 m apart.
15,Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.",1990,no,Argentina,Temperate,South America,terrestrial,terrestrial,forest,Insecta,CON_L,3,CON_L_3,3.2,-65.270481,-26.572663,standardized_fragment,yes,fragmented,trap,pan traps,21,cm diameter,5,traps per transect,transect,4,5,m apart,3,trapping sessions of 8 hours each per trap per site,1,balanced,4 transects of 5 pan traps placed 5 m apart.
16,Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation, Native Insect Pollinators, and Feral Honey Bees in Argentine ""Chaco Serrano"". Ecological Applications, 4(2), pp.378-392.",1990,no,Argentina,Temperate,South America,terrestrial,terrestrial,forest,Insecta,CON_S,1,CON_S_1,0.6,-65.275725,-26.571326,standardized_fragment,yes,fragmented,trap,pan traps,21,cm diameter,5,traps per transect,transect,4,5,m apart,3,trapping sessions of 8 hours each per trap per site,1,balanced,4 transects of 5 pan traps placed 5 m apart.
