taxon;scientific_name;Visibility;Traits.ID;Genus;Species;Invasive.To.Political.Region1;Morphospecies;Contributor;Latitude;Longitude;Head.width.across.eyes..mm.;Head.length..mm.;Clypeus.length..mm.;Mandible.length..mm.;Hind.femur.length..mm.;Scape.length..mm.;Weber.s.length..mm.;Pronotum.width..mm.;Inter.ocular.width..mm.;Max.eye.width..mm.;Whole.body.length..mm.;Number.of.Spines....;taxon_no_data
Formicidae;Atta laevigata;Public;Vasconcelos&Pacheco_noyear_01_traits_1;Atta;laevigata;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-15.95797267;-47.92049733;2.83;2.44;0.57;1.825;4.59;2.68;3.22;1.63;2.385;0.29;Not in paper;6;trait available
Formicidae;Atta laevigata;Public;Vasconcelos&Pacheco_noyear_01_traits_91;Atta;laevigata;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-9.25285;-44.78424333;2.83;2.44;0.57;1.825;4.59;2.68;3.22;1.63;2.385;0.29;Not in paper;6;trait available
Formicidae;Camponotus atriceps;Public;Vasconcelos&Pacheco_noyear_01_traits_10;Camponotus;atriceps;Native;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-15.95797267;-47.92049733;2.24;2.39;0.81;1.15;2.99;2.51;3.29;1.57;1.41;0.47;Not in paper;0;trait available
Formicidae;Camponotus blandus;Public;Vasconcelos&Pacheco_noyear_01_traits_11;Camponotus;blandus;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-15.95797267;-47.92049733;1.23;1.33;0.44;0.69;1.83;1.51;2.19;1.06;0.81;0.34;Not in paper;0;trait available
Formicidae;Camponotus blandus;Public;Vasconcelos&Pacheco_noyear_01_traits_97;Camponotus;blandus;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-9.25285;-44.78424333;1.23;1.33;0.44;0.69;1.83;1.51;2.19;1.06;0.81;0.34;Not in paper;0;trait available
Formicidae;Camponotus leydigi;Public;Vasconcelos&Pacheco_noyear_01_traits_98;Camponotus;leydigi;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-9.25285;-44.78424333;1.383333333;1.516666667;0.5;0.733333333;2.383333333;2.075;2.7;1.116666667;0.866666667;0.35;Not in paper;0;trait available
Formicidae;Camponotus ligniperdus;Public;Gómez_noyearb_traits_17;Camponotus;ligniperdus;Native*;FALSE;Gómez;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Camponotus ligniperdus;Public;Gómez_noyearb_traits_18;Camponotus;ligniperdus;Native*;FALSE;Gómez;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Camponotus ligniperdus;Public;Gómez_noyearb_traits_19;Camponotus;ligniperdus;Native*;FALSE;Gómez;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Camponotus ligniperdus;Public;Gómez_noyearb_traits_20;Camponotus;ligniperdus;Native*;FALSE;Gómez;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Camponotus ligniperdus;Public;Gómez_noyearb_traits_21;Camponotus;ligniperdus;Native*;FALSE;Gómez;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Camponotus ligniperdus;Public;Gómez_noyearb_traits_22;Camponotus;ligniperdus;Native*;FALSE;Gómez;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Camponotus ligniperdus;Public;Gómez_noyearb_traits_23;Camponotus;ligniperdus;Native*;FALSE;Gómez;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Camponotus novogranadensis;Public;Vasconcelos&Pacheco_noyear_01_traits_15;Camponotus;novogranadensis;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-15.95797267;-47.92049733;1.02;1.11;0.35;0.54;1.22;1.16;1.48;0.87;0.7;0.25;Not in paper;0;trait available
Formicidae;Camponotus novogranadensis;Public;Vasconcelos&Pacheco_noyear_01_traits_100;Camponotus;novogranadensis;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-9.25285;-44.78424333;1.02;1.11;0.35;0.54;1.22;1.16;1.48;0.87;0.7;0.25;Not in paper;0;trait available
Formicidae;Cephalotes atratus;Public;Donoso_2014_traits_28;Cephalotes;atratus;Native*;FALSE;Donoso;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Cephalotes atratus;Public;Vasconcelos&Pacheco_noyear_01_traits_107;Cephalotes;atratus;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-9.25285;-44.78424333;3.85;2.683333333;0.625;1.15;3.825;1.783333333;4.191666667;2.516666667;3.366666667;0.466666667;Not in paper;4;trait available
Formicidae;Cephalotes minutus;Public;Donoso_2014_traits_161;Cephalotes;minutus;Native*;FALSE;Donoso;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Cephalotes minutus;Public;Donoso_2014_traits_162;Cephalotes;minutus;Native*;FALSE;Donoso;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Cephalotes minutus;Public;Donoso_2014_traits_163;Cephalotes;minutus;Native*;FALSE;Donoso;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;trait available
Formicidae;Cephalotes pusillus;Public;Vasconcelos&Pacheco_noyear_01_traits_24;Cephalotes;pusillus;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-15.95797267;-47.92049733;1.63;1.13;0.27;0.41;0.91;0.66;1.27;0.83;1.23;0.28;Not in paper;2;trait available
Formicidae;Cephalotes pusillus;Public;Vasconcelos&Pacheco_noyear_01_traits_110;Cephalotes;pusillus;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-9.25285;-44.78424333;1.63;1.13;0.27;0.41;0.91;0.66;1.27;0.83;1.23;0.28;Not in paper;2;trait available
Formicidae;Cephalotes simillimus;Public;Vasconcelos&Pacheco_noyear_01_traits_25;Cephalotes;simillimus;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-15.95797267;-47.92049733;1.53;1.09;0.25;0.38;0.81;0.58;1.19;0.79;1.23;0.34;Not in paper;2;trait available
