scientific_name;new name;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;taxon_no_data
Actitis hypoleucos;Actitis hypoleucos;Scolopacidae;Charadriiformes;AVIBASE-8548B07E;11;2;3;6;4;30.1;19.9;3.1;4;22.4;109.9;51.1;55.4;48;57.4;48;Dunning;NA;NO;NA;NA;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;29.79;71.19;55.26;79.82;25847437.41;trait available
Agricola pallidus;Agricola pallidus;Muscicapidae;Passeriformes;AVIBASE-FA03A965;14;4;4;6;10;16.4;9.6;3.7;4.2;20.9;89.9;17.3;73;19;72.8;23.6;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-29.81;16.54;-4.16;22.72;9110671.42;trait available
Alexandrinus krameri;Alexandrinus krameri;Psittacidae;Psittaciformes;AVIBASE-6B1CFC3C;9;4;5;0;8;25.4;22.7;14.4;20.8;13.8;155.8;75.3;82.2;47.7;215.2;116.1;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Omnivore;Insessorial;3.6;34.92;17.19;46.52;7699517.78;trait available
Amazilia coeruleogularis;Amazilia coeruleogularis;Trochilidae;Caprimulgiformes;AVIBASE-D3D0C21B;5;2;3;0;4;21.5;16.8;2;2;5.3;47.2;30;16.7;64.3;33.6;4.2;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Nectarivore;Aerial;7.2;11.3;8.78;-77.93;88891.44;trait available
Anabacerthia lichtensteini;Anabacerthia lichtensteini;Furnariidae;Passeriformes;AVIBASE-5A7FA9E2;8;0;6;2;4;16.9;11;3.7;5.2;18.6;78.2;13.8;64.6;17.5;74;21;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-29.59;-13.51;-21.76;-49.37;1589284.85;trait available
Anastomus oscitans;Anastomus oscitans;Ciconiidae;Ciconiiformes;AVIBASE-0DF27D63;5;2;3;0;4;156.7;129;21.5;37.7;137.7;397;160.5;238.8;40.2;162.4;1590;Dunning ;NA;NO;NA;NA;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;5.92;29.12;20.66;85.13;2119789.43;trait available
Apalis thoracica;Apalis thoracica;Cisticolidae;Passeriformes;AVIBASE-B285E2B0;13;4;4;5;8;14.9;8.1;2.6;2.5;20.5;51.1;5.6;45.4;11;51.4;11.1;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-34.84;-2.62;-21.17;30.06;1229497.4;trait available
Aplopelia larvata;Aplopelia larvata;Columbidae;Columbiformes;AVIBASE-EE40DDB6;18;6;7;5;8;21.7;19;3.3;3.7;26;143.1;42.1;101.7;29.3;92.9;155;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Granivore;Terrestrial;-34.84;16.48;-5.7;27.89;2621498.99;trait available
Ardea alba;Ardea alba;Ardeidae;Pelecaniformes;AVIBASE-49D9148A;16;4;7;5;8;126.3;90.4;12;18.1;141.6;378.8;120.7;257.2;32.1;140.5;871.3;Dunning;NA;NO;NA;NA;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;-52.61;57.34;10.02;28.87;74898555.49;trait available
Ardea intermedia;Ardea intermedia;Ardeidae;Pelecaniformes;AVIBASE-30785911;5;2;3;0;4;90.4;61.4;10.5;14.1;104.2;303.4;98.4;202.3;32.7;117.8;458.8;Dunning;NA;NO;NA;NA;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;-8.85;39.29;21.5;99.46;5469087.01;trait available
Ardea purpurea;Ardea purpurea;Ardeidae;Pelecaniformes;AVIBASE-3395DCF1;9;4;5;0;4;125.9;102.5;13.6;19.6;117.5;349.7;118.2;230.8;33.9;113.2;1064.5;Dunning;NA;NO;NA;NA;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;-34.84;53.18;14.68;50.93;34922824.77;trait available
Arizelocichla milanjensis;Arizelocichla milanjensis;Pycnonotidae;Passeriformes;AVIBASE-8479F56E;9;5;4;0;4;21;10.7;3.9;4.8;22.8;94.7;15.1;80.3;15.8;88.1;37.4;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Omnivore;Insessorial;-20.82;-15.77;-18.94;33.23;42374.09;trait available
Arizelocichla montana;Arizelocichla montana;Pycnonotidae;Passeriformes;AVIBASE-0802ADF1;5;2;3;0;4;17.2;8.7;4;4.2;21.1;82.8;8.9;74.4;10.6;83.2;32.6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;4.06;7.96;6.22;10.43;61327.27;trait available
Arizelocichla tephrolaema;Arizelocichla tephrolaema;Pycnonotidae;Passeriformes;AVIBASE-DA399CC6;5;2;2;1;4;17.2;9.2;3.8;4.2;19.8;82.4;12.6;69.9;15.3;73.2;38.3;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;3.21;7.75;5.92;10.31;59489.94;trait available
Arremon semitorquatus;Arremon semitorquatus;Passerellidae;Passeriformes;AVIBASE-401DC20C;2;1;1;0;2;15.2;9.4;5.7;7.7;25.2;70;4.2;65.8;6.1;70.5;25;Updated_literature;BoW;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;-26.45;-18.96;-22.7;-45.36;215137.21;trait available
Asemospiza fuliginosa;Asemospiza fuliginosa;Thraupidae;Passeriformes;AVIBASE-F2091EB7;7;2;3;2;5;12.2;7.8;6;7.5;15.6;57.4;10.3;47.5;17.9;43.9;13.3;Dunning;NA;NO;NA;NA;Shrubland;2;2;Herbivore;Granivore;Insessorial;-26.14;11.27;-15.69;-47.33;951776.68;trait available
Atalotriccus pilaris;Atalotriccus pilaris;Tyrannidae;Passeriformes;AVIBASE-CD3601B0;4;0;2;2;4;13.6;6.3;3.4;2.6;15.4;41.2;3.6;37.6;8.8;33.4;6.8;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;2.29;12.46;7.68;-69.45;813969.64;trait available
