taxon;scientific_name;revised_name;category;body_mass;diet;foraging_strata;activity_period;taxon_no_data
Mammalia;Akodon_cursor;Akodon_cursor;up_to_date;39.9;carnivore;G;cathemeral;trait available
Mammalia;Akodon_montensis;Akodon_montensis;up_to_date;44.1;omnivorous;G;cathemeral;trait available
Mammalia;Akodon_paranaensis;Akodon_paranaensis;up_to_date;40.3;omnivorous;G;cathemeral;trait available
Mammalia;Alouatta_guariba;Alouatta_guariba;up_to_date;5589.2;herbivore;Ar;diurnal;trait available
Mammalia;Anoura_caudifer;Anoura_caudifer;up_to_date;10.1;omnivorous;Ar;nocturnal;trait available
Mammalia;Antrozous_dubiaquercus;Bauerus_dubiaquercus;updated;22.9;carnivore;A;nocturnal;trait available
Mammalia;Apodemus_sylvaticus;Apodemus_sylvaticus;up_to_date;30.5;herbivore;G;cathemeral;trait available
Mammalia;Artibeus_concolor;Artibeus_concolor;up_to_date;19.4;herbivore;Ar;nocturnal;trait available
Mammalia;Artibeus_gnomus;Artibeus_gnomus;up_to_date;10.06;herbivore;Ar;nocturnal;trait available
Mammalia;Artibeus_jamaicensis;Artibeus_jamaicensis;up_to_date;42.2;herbivore;Ar;nocturnal;trait available
Mammalia;Artibeus_lituratus;Artibeus_lituratus;up_to_date;60.5;herbivore;Ar;nocturnal;trait available
Mammalia;Artibeus_obscurus;Artibeus_obscurus;up_to_date;35.2;herbivore;Ar;nocturnal;trait available
Mammalia;Artibeus_phaeotis;Artibeus_phaeotis;up_to_date;11.6;herbivore;Ar;nocturnal;trait available
Mammalia;Artibeus_watsoni;Artibeus_watsoni;up_to_date;12;herbivore;Ar;nocturnal;trait available
Mammalia;Arvicola_amphibius;Arvicola_amphibius;up_to_date;225;herbivore;G;cathemeral;trait available
Mammalia;Bos_gaurus;Bos_frontalis;updated;825000;herbivore;G;diurnal;trait available
Mammalia;Bradypus_torquatus;Bradypus_torquatus;up_to_date;3900;herbivore;Ar;cathemeral;trait available
Mammalia;Callicebus_personatus;Callicebus_personatus;up_to_date;1350;herbivore;Ar;diurnal;trait available
Mammalia;Callithrix_geoffroyi;Callithrix_geoffroyi;up_to_date;342;omnivorous;Ar;diurnal;trait available
Mammalia;Callosciurus_caniceps;Callosciurus_caniceps;up_to_date;257;omnivorous;Ar;diurnal;trait available
Mammalia;Calomys_callosus;Calomys_callosus;up_to_date;48;herbivore;G;cathemeral;trait available
Mammalia;Calomys_tener;Calomys_tener;up_to_date;13.8;herbivore;G;cathemeral;trait available
Mammalia;Caluromys_philander;Caluromys_philander;up_to_date;229.3;omnivorous;Ar;cathemeral;trait available
Mammalia;Carollia_brevicauda;Carollia_brevicauda;up_to_date;14.4;herbivore;Ar;nocturnal;trait available
Mammalia;Carollia_castanea;Carollia_castanea;up_to_date;13.3;herbivore;Ar;nocturnal;trait available
Mammalia;Carollia_perspicillata;Carollia_perspicillata;up_to_date;18;herbivore;Ar;nocturnal;trait available
Mammalia;Centronycteris_centralis;Centronycteris_centralis;up_to_date;5.5;carnivore;A;nocturnal;trait available
Mammalia;Centurio_senex;Centurio_senex;up_to_date;21.2;herbivore;Ar;nocturnal;trait available
Mammalia;Cerdocyon_thous;Cerdocyon_thous;up_to_date;5240;omnivorous;G;nocturnal;trait available
Mammalia;Cervus_unicolor;Rusa_unicolor;updated;180344.4;herbivore;G;cathemeral;trait available
Mammalia;Chaetomys_subspinosus;Chaetomys_subspinosus;up_to_date;1300;herbivore;Ar;nocturnal;trait available
Mammalia;Chiroderma_trinitatum;Chiroderma_trinitatum;up_to_date;13.7;herbivore;Ar;nocturnal;trait available
Mammalia;Chiroderma_villosum;Chiroderma_villosum;up_to_date;23.1;herbivore;Ar;nocturnal;trait available
Mammalia;Chiropodomys_gliroides;Chiropodomys_gliroides;up_to_date;21.5;herbivore;Ar;nocturnal;trait available
Mammalia;Choeroniscus_godmani;Choeroniscus_godmani;up_to_date;7.9;omnivorous;Ar;nocturnal;trait available
Mammalia;Choeroniscus_minor;Choeroniscus_minor;up_to_date;8.7;omnivorous;Ar;nocturnal;trait available
Mammalia;Choeroniscus_sp.;Choeroniscus_sp.;morphospecies;11.82;omnivorous;Ar;nocturnal;trait available
Mammalia;Chrotopterus_auritus;Chrotopterus_auritus;up_to_date;77.9;omnivorous;S;nocturnal;trait available
Mammalia;Coendou_insidiosus;Sphiggurus_insidiosus;updated;1000;herbivore;Ar;nocturnal;trait available
Mammalia;Cormura_brevirostris;Cormura_brevirostris;up_to_date;9.2;carnivore;A;nocturnal;trait available
Mammalia;Cryptonanus_chacoensis;Gracilinanus_agilis;updated;15.5;herbivore;S;cathemeral;trait available
Mammalia;Cuniculus_paca;Cuniculus_paca;up_to_date;8000;herbivore;G;nocturnal;trait available
Mammalia;Dasyprocta_leporina;Dasyprocta_leporina;up_to_date;3020;herbivore;G;cathemeral;trait available
