taxon,scientific_name,new name,Male pronotum size mm,Female pronotum size mm,Male femur size mm,Female femur size mm,Male total length mm,Female total length mm,trophic level/diet,reproductive mode,foraging strata / habitat,taxon_no_data
Orthoptera,Aeoloplides turnbulli,Aeoloplides turnbulli,6.18,5.87,14.21,14.69,28.47,25.28,herbivorous,NA,NA,trait available
Orthoptera,Aeropedellus clavatus,Aeropedellus clavatus,3.3 - 3.8,6.25,9.8 - 11.5,19.97,15.8 - 19.1,37.15,herbivorous,"Univoltine, with overwintering in the egg stage",grasslands; lower strata ,trait available
Orthoptera,Ageneotettix deorum,Ageneotettix deorum,3.75,4.11,10,13.86,15,22.65,herbivorous,NA,grasslands; lower strata ,trait available
Orthoptera,Amphitornus coloradus,Amphitornus coloradus,3.80,5.25,13.2,16.22,20.57 - 22.86,26.81,herbivorous,NA,NA,trait available
Orthoptera,Arphia conspersa,Arphia conspersa,6.27,28.63,13,13.88,21,6.46,herbivorous,NA,grasslands; lower strata ,trait available
Orthoptera,Arphia pseudonietana,Arphia pseudonietana,5.82,7.17,17.01,19.44,"25,4",35.43,herbivorous,NA,prairies and mountains; lower strata,trait available
Orthoptera,Aulocara elliotti,Aulocara elliotti,3.20,4.95,15.24,15.74,17 - 20,20.5 - 25,herbivorous,Univoltine,low and salty grasslands,trait available
Orthoptera,Calliptamus italicus,Calliptamus italicus,6.76,6.83,9.7 - 14.7,13.8 - 24.6,16.1 - 28.7,21.9 - 41.6,herbivorous,NA,NA,trait available
Orthoptera,Camnula pellucida,Camnula pellucida,3.55,-,9.5 - 12.3,11 - 14.7,20.5 - 24.5,22 - 30,herbivorous,NA,NA,trait available
Orthoptera,Chloealtix conspersa,Chloealtis conspersa,NA,NA,13,13,15 - 20,20 - 28,herbivorous,"Univoltine, with overwintering in the egg stage",thickets and along edges of open woods,trait available
Orthoptera,Chorthippus albomarginatus,Chorthippus albomarginatus,2.5 - 3,3.1 - 3.95,7.5 - 9.3,10.7 - 12.4,15,20,herbivorous,NA,wet prairies,trait available
Orthoptera,Chorthippus apricarius,Chorthippus apricaroides,-,-,-,-,-,-,herbivorous,NA,NA,trait available
Orthoptera,Chorthippus biguttulus,Chorthippus biguttulus,-,3.55,-,12.36,-,20.05,herbivorous,NA,NA,trait available
Orthoptera,Chorthippus brunneus,Chorthippus brunneus,2.80 – 3.50,3.40 – 4.40,8.70 – 10.70,10.20 – 14.40,14.5 - 18,20 - 24,herbivorous,NA,NA,trait available
Orthoptera,Chorthippus dorsatus,Aulacobothrus dorsatus,3.8,4.5,12,14.5,17,23,herbivorous,NA,NA,trait available
Orthoptera,Chorthippus mollis,Chorthippus (Glyptobothrus) mollis mollis,2.63,3.25,7.89,10.34,13.4 - 17.1,17.6 - 19.2,herbivorous,NA,NA,trait available
Orthoptera,Chorthippus montanus,Pseudochorthippus montanus,-,-,-,-,13 - 16,17 - 22,herbivorous,NA,grasslands,trait available
Orthoptera,Chorthippus parallelus,Pseudochorthippus parallelus parallelus,3,3.1 - 4,-,10.68,14 - 16,18 - 24,herbivorous,NA,NA,trait available
Orthoptera,Chorthippus vagans,Chorthippus vagans,-,3.19,-,11.54,13 - 14,16 - 19,herbivorous,NA,NA,trait available
Orthoptera,Chortophaga viridifasciata,Chortophaga viridifasciata,5.01,5.75,13.1,15.17,17 - 24,24 - 30,herbivorous,"univoltine, but, in Oklahoma and Texas, it is bivoltine or even trivoltine",grassy areas ,trait available
Orthoptera,Conocephalus discolor,Conocephalus (Anisoptera) fuscus fuscus,3 - 4,3.8 - 4.2,10 - 13,11 - 15,12 - 15,12 - 20,NA,NA,NA,trait available
Orthoptera,Conocephalus dorsalis,Conocephalus (Anisoptera) dorsalis,4.78,4.77,14.57,12.95,19.20,18.95,NA,NA,NA,trait available
Orthoptera,Cordillacris occipitalis,Cordillacris occipitalis,3.57,3.62,12.69,13.87,15.75,19.81,herbivorous,NA,NA,trait available
Orthoptera,Cratypledes neglectus,Cratypedes neglectus,-,-,-,16,-,29.46,herbivorous,NA,mixedNAgrass prairie in dry sandy,trait available
Orthoptera,Decticus verrucivorus,Decticus verrucivorus verrucivorus,9,9.15,28.51,30.19,32.74,37.57,NA,NA,NA,trait available
Orthoptera,Derotmema haydeni,Derotmema haydenii,4.60,5.04,12,13.71,22.09,25.4,herbivorous,NA,NA,trait available
Orthoptera,Dissosteria carolina,Dissosteira carolina,-,-,-,-,26 - 30,34 - 40,herbivorous,"univoltine life cycle, with overwintering in the egg stage in the soil","grasses, forbs and crops",trait available
Orthoptera,Encoptolophus costalis,Encoptolophus costalis,3.08,-,9.02,-,20.07,-,herbivorous,NA,NA,trait available
Orthoptera,Eritettix simplex,Eritettix simplex,3.94,-,10,-,16,-,herbivorous,NA,NA,trait available
Orthoptera,Euchorthippus declivus,Euchorthippus declivus,2.28,3.58,9.18,11.29,14 – 20,20 – 27,herbivorous,NA,NA,trait available
Orthoptera,Euchorthippus pulvinatus,Euchorthippus pulvinatus,-,-,-,-,-,-,NA,NA,NA,trait available
Orthoptera,Euthystira brachyptera,Euthystira brachyptera,-,-,-,-,13 – 26,-,NA,NA,marshy meadows and dry field with tall grasses,trait available
Orthoptera,Hesperotettix viridis,Hesperotettix viridis,4.11,4.53,10.14,12.5,15.75,21.59,herbivorous,NA,NA,trait available
Orthoptera,Hypochloa alba,Hypochlora alba,3.9,4.33,9.44,10.08,16.51,21.59,NA,"Univoltine, with overwintering in the egg stage","feeds almost exclusively on Artemisia /udoviciana, with some limited feeding on other Artemisia species and on alfalfa (Mulkern et al. 1969)",trait available
Orthoptera,Leptopharsa albovittata,Leptophyes albovittata,3,3.5,-,-,10,15,NA,NA,NA,trait available
Orthoptera,Mantis religiosa,Mantis religiosa,-,-,-,-,60 – 70,70 – 90,NA,NA,NA,trait available
Orthoptera,Meconema thalassinum,Meconema thalassinum,2.8 - 3.2,-,8 - 10.5,-,12 - 15,-,NA,NA,NA,trait available
Orthoptera,Melanoplus bivittatus,Melanoplus bivittatus,12.74,-,32.02,-,26.5 - 28,31 - 35,omnivorous,Univoltine,locations that are relatively moist,trait available
Orthoptera,Melanoplus confusus,Melanoplus confusus,4.5,5,10 - 11.5,12 - 13.5,16 - 18,19 - 24,herbivorous,NA,"Brooks (1958) called this species a mixed feeder, preferring forbs but also feeding readily on sedges. Dry sandy wastelands, on hillsides, or in sandy clearings in forests.",trait available
Orthoptera,Melanoplus differentialis,Melanoplus differentialis,-,-,-,-,28 - 34,34 - 44,herbivorous,"Univoltine, with overwintering in the egg stage",forb feeder,trait available
Orthoptera,Melanoplus femurrubrum,Melanoplus femurrubrum,-,-,-,-,16 - 23,18 - 28,herbivorous,"Univoltine, with overwintering in the egg stage",grasslands,trait available
Orthoptera,Melanoplus infantilis,Melanoplus infantilis,3,3.13,9,9,14 - 19,16.5,herbivorous,"Univoltine, with overwintering in the egg stage","mixed feeder, preferring grasses (Brooks, 1958)",trait available
Orthoptera,Melanoplus keeleri,Melanoplus keeleri,-,-,17.78,-,17 - 20,19 - 27,herbivorous,"Univoltine, with overwintering in the egg stage","grassy wastelands, often near forests",trait available
Orthoptera,Melanoplus lakinus,Melanoplus lakinus,4.42,5.05,12.5,14,22,30,herbivorous,NA,NA,trait available
Orthoptera,Melanoplus occidentalis,Melanoplus occidentalis,-,-,10.80,11.93,17.52,22.35,herbivorous,probably univoltine,grass feeder,trait available
Orthoptera,Melanoplus packardi,Melanoplus packardi,-,-,-,-,27,32,herbivorous,"Univoltine, with overwintering in the egg stage","grasslands, especially on light, sandy, gravelly, or drift soils (Brooks 1958)",trait available
Orthoptera,Melanoplus sanguinipes,Melanoplus sanguinipes,4.57,-,12.23,-,17 - 21,16 - 27,omnivorous,"Univoltine, with overwintering in the egg stage","grassy fields, pastures, roadsides, arid lands, and boggy situations",trait available
Orthoptera,Mestobregma plattei,Mestobregma plattei ,-,-,-,13.97,19.05,25.4,herbivorous,NA,NA,trait available
Orthoptera,Metador paradalinus,Metator pardalinus,2.67,2.26,8.42,5.09,26,34,herbivorous,"Univoltine, with overwintering as eggs in the soil",shortNAgrass prairies,trait available
Orthoptera,Metrioptera bicolor,Bicolorana bicolor,-,-,-,-,6 - 7,8 - 9,NA,NA,NA,trait available
Orthoptera,Oedipoda caerulescens,Oedipoda caerulescens,-,-,-,-,8 - 9,1,NA,NA,NA,trait available
Orthoptera,Omocestus haemorrhoidalis,Omocestus (Omocestus) haemorrhoidalis,-,-,-,-,-,-,NA,NA,NA,trait available
Orthoptera,Omocestus petraeus,Omocestus (Omocestus) petraeus,-,-,-,-,-,-,NA,NA,"thermophilous species is restricted to lowland steppe habitats mainly on bare rock, but also on sand and gravel up to 300 m asl in S Slovakia",trait available
Orthoptera,Omocestus ventralis,Omocestus (Omocestus) rufipes,-,-,-,-,12,18 - 19,herbivorous,NA,NA,trait available
Orthoptera,Opeia obscura,Opeia obscura,3.45,-,10.81,-,16,25,NA,univoltine,grasslands,trait available
Orthoptera,Orphulella speciosa,Orphulella speciosa,3.67,3.8,12.25,12.53,13 - 16,16 - 21,herbivorous,univoltine,"grasslands or pastures on dry, or semidry, sandy and loamy soils",trait available
Orthoptera,Parapomala wyomingensis,Paropomala wyomingensis,3.98,"4,71",11.87,12.39,22.86,27.94,herbivorous,NA,NA,trait available
Orthoptera,Phaneroptera falcata,Phaneroptera (Phaneroptera) falcata,10.37,-,47.88,-,47.88,-,NA,univoltine in montains and bivoltine in lowland,NA,trait available
Orthoptera,Phoetaliotes nebrascensis,Phoetaliotes nebrascensis,5.35,6.8,12.72,17.49,26.23,29.28,herbivorous,NA,NA,trait available
Orthoptera,Pholidoptera aptera,Pholidoptera aptera,8 - 8.2,8 - 9,21.5 - 23,22 - 24,20 - 23,22 - 25,NA,NA,NA,trait available
Orthoptera,Pholidoptera fallax,Pholidoptera fallax,-,-,-,-,-,-,NA,NA,NA,trait available
Orthoptera,Pholidoptera griseoaptera,Pholidoptera griseoaptera,-,-,-,-,15,15 - 18,NA,NA,"NettleNAbeds, coarse herbage, brambles, low bushes",trait available
Orthoptera,Platycleis grisea,,NA,NA,NA,NA,27.94,25.4,NA,NA,NA,trait available
Orthoptera,Platycleis vittata,Platycleis grisea,-,-,-,-,-,-,NA,NA,NA,trait available
Orthoptera,Pseudopomala brachyptera,Pseudopomala brachyptera,4.68,-,13.2,-,26.67,-,NA,NA,NA,trait available
Orthoptera,Psoloessa delicatula,Psoloessa delicatula,3.89,3.81,13.89,12.78,21.2,21.89,herbivorous,NA,NA,trait available
Orthoptera,Saga pedo,Saga pedo,-,-,-,-,10.5,12,carnivorous ,Univoltine,NA,trait available
Orthoptera,Spharagemon collare,Spharagemon collare,4,4.09,9 - 9.7,11 - 12,15.2 - 15.5,17.5 - 21,herbivorous,NA,"grasses, sedges, and forbs",trait available
Orthoptera,Stenobothrus crassipes,Stenobothrus crassipes,2.7,3,7.62,10.16,12.7,17.78,NA,NA,mountain meadows,trait available
Orthoptera,Stenobothrus lineatus,Stenobothrus lineatus,NA,NA,NA,NA,15.7 - 19.2,20.8 - 25.3,NA,NA,NA,trait available
Orthoptera,Stenobothrus nigromaculatus,Stenobothrus nigromaculatus,NA,NA,NA,NA,NA,15,NA,NA,NA,trait available
Orthoptera,Tetrix nutans,Tetrix tenuicornis tenuicornis,NA,NA,NA,NA, 13.97,NA,NA,NA,NA,trait available
Orthoptera,Tettigonia viridissima,Tettigonia viridissima,8.73,10.2,26.15,29.37,38.97,39.33,carnivorous,arboreal,NA,trait available
Orthoptera,Trachyrychus kiowa,Trachyrhachys kiowa,4.19,5.68,11.92,13.46,18.31,22.09,NA,NA,NA,trait available
Orthoptera,Trimerotropis pallidipennis,Trimerotropis pallidipennis,3.95,6.46,13.90,16.77,22.97,34.1,NA,NA,NA,trait available
Orthoptera,Aphodius lividus (Olivier),,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Aphodius sp. 01,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Aphodius sp. 02,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Aphodius sp. 03,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Bolboceras sp.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Catharsius sesostris,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Catharsius sp.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Copris carmelita,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Copris integer,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Copris nepos,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Copris orphanus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Copris plurides,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Coptorhina sp.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Diastellopalpus sp.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Gymnopleurus crenulatus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Heliocopris punctiventris,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Heliocopris sp.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onitis sp.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus bicavifrons,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus carbonaerius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus helciatus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus multicornis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus proteus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 01,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 02,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 03,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 04,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 05,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 06,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 07,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 08,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
Orthoptera,Onthophagus sp. 09,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
