AccSpeciesName;Dispersal syndrome;Leaf nitrogen (N) content per leaf dry mass;Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume);Seed dry mass;Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC);taxon_no_data
Abarema brachystachya;Animal;3.04;0.537852445;NA;NA;trait available
Abarema jupunba;Disp;2.881536212;0.587361111;152.9966148;NA;trait available
Abarema langsdorffii;NA;NA;NA;0.049516668;459.379;trait available
Abies balsamea;wind;2.928125336;0.444856628;22140.67566;NA;trait available
Acacia dealbata;Animal;29.30381818;0.586624733;11.88238095;NA;trait available
Acer negundo;Disp;10.85133708;41.94584471;1008.419497;105.5676559;trait available
Acer pensylvanicum;Disp;13.64537158;0.44;4614.102956;195.5850906;trait available
Acer rubrum;wind;6.134516241;355.8285131;2478.27284;154.753868;trait available
Acer saccharinum;Disp;2.366667;0.605;718.6069802;0.28788;trait available
Acer saccharum;Disp;8.869379006;923.2845283;1618.908412;253.3453447;trait available
Acer spicatum;Disp;2.274;0.44;1641.694511;NA;trait available
Acnistus arborescens;Disp;NA;NA;0.535;NA;trait available
Adonis dentata;NA;1.123333333;NA;NA;NA;trait available
Aegilops geniculata;Disp;2.811069;NA;14.28107692;260.6666667;trait available
Aegiphila;NA;3.39;NA;NA;NA;trait available
Aegiphila integrifolia;NA;3.346983623;0.86;2.308066667;259.468;trait available
Aegiphila sellowiana;NA;2.803333333;NA;NA;NA;trait available
Aegiphila verticillata;NA;2.546666667;NA;NA;NA;trait available
Aeschynomene sensitiva;NA;NA;NA;9.4;NA;trait available
Aextoxicon punctatum;Ornithochory;2.222142857;0.566666667;272.70424;NA;trait available
Agonandra brasiliensis;NA;NA;0.809111111;NA;NA;trait available
Agrostis capillaris;endozoochor;8.97316904;0.269080688;92876.45929;253.3257209;trait available
Ainsworthia trachycarpa;NA;NA;NA;0.56;NA;trait available
Albizia;NA;2.217142857;0.524707221;NA;NA;trait available
Albizia adianthifolia;NA;1.835637198;0.530531185;67.56;NA;trait available
Albizia pedicellaris;Disp;2.495528761;0.496352727;NA;NA;trait available
Alcea acaulis;NA;NA;NA;17.66666667;NA;trait available
Alchornea glandulosa;NA;11.85666834;3.660350766;0.018092309;432.029;trait available
Alchornea sidifolia;NA;NA;NA;0.014482351;442.173;trait available
Alchornea triplinervia;NA;6.615648847;5.492909548;0.022888461;423.13;trait available
Alectryon excelsus;NA;NA;NA;201.075;233.9965278;trait available
Allium ampeloprasum;Diaspore is blown by wind;NA;NA;2.985;NA;trait available
Allophylus;animal;NA;NA;96.67673069;NA;trait available
Allophylus edulis;NA;NA;0.561970657;0.046145;423.206;trait available
Allophylus racemosus;NA;2.77536522;0.54905385;18.55;200.2285699;trait available
Alnus acuminata;NA;NA;0.386333333;NA;NA;trait available
Alnus incana;nautochor;3.801484371;212.263466;47142.44787;215.9367932;trait available
Alopecurus utriculatus;NA;14.99762443;NA;1.244;209.7309402;trait available
Alseis floribunda;NA;NA;0.85;NA;NA;trait available
Alseuosmia macrophylla;NA;NA;NA;4.1;NA;trait available
Alsophila setosa;NA;NA;NA;1.32E-07;354.328;trait available
Alyssum simplex;NA;NA;NA;0.74;NA;trait available
Amaioua guianensis;NA;7.723653609;0.646173009;0.012538461;380.037;trait available
Amaioua intermedia;NA;1.63875;0.640075367;NA;NA;trait available
Amanoa guianensis;NA;NA;0.813562556;NA;NA;trait available
Amelanchier;NA;1.87;NA;NA;NA;trait available
Ammi majus;nautochor;NA;NA;0.595558824;142.8053333;trait available
Amomyrtus luma;Disp;0.98;1;26.59045455;NA;trait available
Amomyrtus meli;Disp;NA;1;0.04;NA;trait available
Ampelocera edentula;NA;11.69656758;0.6902;NA;NA;trait available
Amphirrhox longifolia;NA;2.658537555;0.71;NA;NA;trait available
Anacardium giganteum;Disp;NA;0.453029333;3573.903362;NA;trait available
