taxon;Binomial;Binomial New;maximum.SVL;diet;substrate;reproductive.mode;Activity.time;Max_Length;taxon_no_data
Squamata;Amastridium veliferum;;NA;Carnivorous;Terrestrial;Oviparous;NA;724;trait available
Squamata;Ameiva ameiva;;210;Carnivorous;Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Ameiva undulata;Holcosus undulatus;111;Carnivorous;Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Amphibolurus muricatus;;90;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;125;trait available
Squamata;Anolis aff. Fuscoauratus;;43.6;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;53.1;trait available
Squamata;Anolis barkeri;Norops barkeri;101;Carnivorous;Semi_Aquatic;Oviparous;Diurnal;NA;trait available
Squamata;Anolis rodriguezii;Norops rodriguezii;49;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Anolis uniformis;Norops uniformis;35.8;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;41;trait available
Squamata;Basiliscus vittatus;;NA;Omnivorous;Semi_Aquatic;Oviparous;Diurnal;225;trait available
Squamata;Boa constrictor;;NA;Carnivorous;Arboreal&Terrestrial;Viviparous;Nocturnal;4500;trait available
Squamata;Bothrops asper;;NA;Carnivorous;Terrestrial;Viviparous;Nocturnal;2500;trait available
Squamata;Christinus marmoratus;;52;Omnivorous;Arboreal&Saxicolous;Oviparous;Nocturnal;70;trait available
Squamata;Clelia scytalina;;1190;Carnivorous;Terrestrial;Oviparous;NA;1600;trait available
Squamata;Coleodactylus natalensis;;17.5;Carnivorous;Terrestrial;Oviparous;Diurnal;24;trait available
Squamata;Colobodactylus taunayi;;NA;Carnivorous;Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Coniophanes fissidens;;550;Carnivorous;Terrestrial;Oviparous;Diurnal;795;trait available
Squamata;Coniophanes imperialis;;NA;Carnivorous;Terrestrial;Oviparous;Diurnal;550;trait available
Squamata;Corytophanes hernandesii;;105;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Dendrophidion percarinatum;;852;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;1175;trait available
Squamata;Dendrophidion vinitor;;636;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;980;trait available
Squamata;Diplodactylus vittatus;;59.5;Carnivorous;Arboreal&Terrestrial;Oviparous;Nocturnal;NA;trait available
Squamata;Dryadosaura nordestina;;57;Carnivorous;Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Drymarchon melanurus;Drymarchon corais unicolor;NA;Carnivorous;NA;Oviparous;Diurnal;2950;trait available
Squamata;Ecpleopus gaudichaudii;;43.2;Carnivorous;Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Enyalius bibronii;Enyalius catenatus bibronii;NA;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;108.2;trait available
Squamata;Enyalius brasiliensis;;92.4;Carnivorous;Arboreal&Terrestrial;Oviparous;Cathemeral;117;trait available
Squamata;Enyalius perditus;;100.2;Omnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;93;trait available
Squamata;Ficimia publia;;415;Carnivorous;Fossorial&Terrestrial;Oviparous;NA;461;trait available
Squamata;Gecko sp. 1;;NA;NA;NA;NA;NA;NA;trait available
Squamata;Gymnodactylus darwinii;;46.1;Carnivorous;Arboreal&Terrestrial;Oviparous;Nocturnal;59.1;trait available
Squamata;Gymnopis multiplicata;ANFÍBIO;NA;NA;NA;NA;NA;NA;trait available
Squamata;Hemidactylus mabouia;;56.2;Carnivorous;Arboreal&Saxicolous;Oviparous;Cathemeral;90;trait available
Squamata;Heterodactylus imbricatus;;125;Carnivorous;Terrestrial;Oviparous;NA;NA;trait available
Squamata;Imantodes cenchoa;;NA;Carnivorous;Arboreal&Terrestrial;Oviparous;Nocturnal;1554;trait available
Squamata;Kentropyx calcarata;;96.9;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;119;trait available
Squamata;Kinosternon leucostomum;;170;Omnivorous;Semi_Aquatic;Oviparous;Diurnal&Nocturnal;170;trait available
Squamata;Lampropeltis triangulum;;797;Carnivorous;Fossorial&Terrestrial;Oviparous;Diurnal&Nocturnal;1900;trait available
Squamata;Lepidoblepharis xanthostigma;;45;Carnivorous;Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Lepidophyma pajapanensis;Lepidophyma pajapanense;83;Carnivorous;Arboreal&Terrestrial;Viviparous;Nocturnal;NA;trait available
Squamata;Lepidophyma tuxtlae;;82.4;Omnivorous;Arboreal&Saxicolous;Viviparous;Nocturnal;97;trait available
Squamata;Leptodeira septentrionalis;;NA;Carnivorous;Arboreal&Terrestrial;Oviparous;Nocturnal;1055;trait available
Squamata;Leptodeira sp. 1;;NA;NA;NA;NA;NA;NA;trait available
Squamata;Leptophis ahaetulla;;NA;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;2250;trait available
Squamata;Lerista bougainvillii;;74;Carnivorous;Fossorial&Terrestrial;Mixed;Cathemeral;74;trait available
Squamata;Lygodactylus klugei;;34;Omnivorous;Arboreal;Oviparous;Diurnal;NA;trait available
Squamata;Mabuya macrorhyncha;;75;Omnivorous;Terrestrial;Viviparous;Diurnal;NA;trait available
Squamata;Micrurus aff. corallinus;;950;Carnivorous;Fossorial&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Micrurus ibiboboca;;595.12;Carnivorous;Fossorial&Terrestrial;Oviparous;Diurnal&Nocturnal;1330;trait available
Squamata;Micrurus limbatus;;NA;Carnivorous;Fossorial&Terrestrial;Oviparous;Diurnal&Nocturnal;735;trait available
Squamata;Morethia boulengeri;;57;Carnivorous;Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Ninia sebae;;NA;Carnivorous;NA;Oviparous;Diurnal;386;trait available
Squamata;Norops biporcatus;;105;Carnivorous;Arboreal;Oviparous;Diurnal;NA;trait available
Squamata;Norops capito;;83;Carnivorous;Arboreal;Oviparous;Diurnal&Nocturnal;NA;trait available
Squamata;Norops carpenteri;;46;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Norops humilis;;38.1;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Norops lemurinus;;63.8;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Norops limifrons;;50;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Norops oxylophus;Anolis oxylophus ;69;Carnivorous;Semi_Aquatic;Oviparous;Diurnal;NA;trait available
Squamata;Norops sp. 1;;NA;NA;NA;NA;NA;NA;trait available
Squamata;Nothopsis rugosus;;300;Carnivorous;Terrestrial;Oviparous;Diurnal;433;trait available
Squamata;Placosoma glabellum;;53.1;Carnivorous;Arboreal&Terrestrial;Oviparous;NA;53.1;trait available
Squamata;Plestiodon semichrasti;;NA;NA;NA;NA;NA;NA;trait available
Squamata;Pliocercus elapoides;Pliocercus elapoides occidentalis;416;NA;NA;Oviparous;NA;670;trait available
Squamata;Pogona barbata;;250;Omnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;250;trait available
Squamata;Porthidium nasutum;;NA;Carnivorous;Terrestrial;Viviparous;Nocturnal;635;trait available
Squamata;Pseudonaja textilis;;1270;Carnivorous;Terrestrial;Oviparous;Diurnal;2200;trait available
Squamata;Pseustes poecilonotus;;NA;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;1806;trait available
Squamata;Ramphotyphlops proximus;Anilios proximus;626;Carnivorous;Fossorial;Oviparous;Nocturnal;750;trait available
Squamata;Rhadinaea decorata;;NA;Carnivorous;Terrestrial;Oviparous;Diurnal;350;trait available
Squamata;Rhinoclemmys annulata;;NA;Herbivorous;Terrestrial;Oviparous;NA;NA;trait available
Squamata;Salvator merianae ;Salvator merianae sebastiani;406;Carnivorous;Terrestrial;Oviparous;Diurnal;1300;trait available
Squamata;Scaphiodontophis annulatus;;NA;Carnivorous;Terrestrial;Oviparous;Diurnal;900;trait available
Squamata;Sceloporus salvini;;717;Carnivorous;Arboreal;Viviparous;Diurnal;NA;trait available
Squamata;Sceloporus variabilis;;56.7;Carnivorous;Arboreal&Saxicolous&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Scincella silvicola;;NA;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;58.2;trait available
Squamata;Sibon nebulatus;;NA;Carnivorous;Arboreal;Oviparous;Nocturnal;1013;trait available
Squamata;Sibon Sp. 1;;NA;NA;NA;NA;NA;NA;trait available
Squamata;Skink sp. 1;;NA;NA;NA;NA;NA;NA;trait available
Squamata;Sphenomorphus cherriei;;58;NA;NA;Oviparous;NA;NA;trait available
Squamata;Spilotes pullatus;Spilotes megalolepis;3600;Carnivorous;Arboreal&Terrestrial;Oviparous;Diurnal;NA;trait available
Squamata;Squamate sp. 1;;NA;NA;NA;NA;NA;NA;trait available
Squamata;Taeniophallus occipitalis;Taeniophallus quadriocellatus;429;Carnivorous;Terrestrial;Oviparous;Diurnal;570;trait available
Squamata;Tantilla melanocephala;;290;Carnivorous;Terrestrial;Oviparous;Diurnal&Nocturnal;355;trait available
Squamata;Thecadactylus rapicauda;;126;Carnivorous;Arboreal&Terrestrial;Oviparous;Nocturnal;126;trait available
Squamata;Tiliqua scincoides;;308.1;Omnivorous;Terrestrial;Viviparous;Diurnal;308.1;trait available
Squamata;Trachydosaurus rugosus;Tiliqua rugosa;277.5;Omnivorous;Terrestrial;Viviparous;Diurnal;277.5;trait available
Squamata;Tropidurus hispidus;;139.1;Omnivorous;Arboreal&Saxicolous&Terrestrial;Oviparous;Diurnal;139.1;trait available
Squamata;Typhlops brongersmianus;Amerotyphlops brongersmianus;207;Carnivorous;Fossorial;Oviparous;Nocturnal;214;trait available
Squamata;Underwoodisaurus milii;Nephrurus milii ;110;Carnivorous;Terrestrial;Oviparous;Nocturnal;110;trait available
Squamata;Unidentified skink;;NA;NA;NA;NA;NA;NA;trait available
Squamata;Urotheca euryzona;Pliocercus euryzonus;560;Carnivorous;Terrestrial&Aquatic;Oviparous;Nocturnal;820;trait available
