taxon,scientific_name,Family,Subfamily,body_size_female (mm),N_body_size_female,body_size_male (mm),N_body_size_male,forewing_length_females (mm),N_forewing_length_females,forewing_length_males (mm),N_forewing_length_males,trophic level / diet,reproductive mode,foraging strata / habitat,References,OBS
Hymenoptera,Aclastus sp. 01,Ichneumonidae,Phygadeuontinae,2.4-2.6 [1]; 3-4 [9],12 [1]; 4 [9],3 [7] ; 3.5 [8],1 [7]; 1 [8],2.5 [1]; ,7 [1],3.8 [6],1 [6],spider eggs sacs of the family Linyphiidae [2; 3; 4] and Amaurobiidae [5],idiobiont solitary parasitoids  [1],Eucalyptus plantation [1];  2100-2200 m [6]; species favour damp habitats [10],"1. Bordera, S. & Mazon, M. (2015) Description of a new species of Aclastus Förster (Hymenoptera: Ichneumonidae: Cryptinae) from the Peruvian Andes, with dimorphic females. Zootaxa, 3955(3): 340-348. http://dx.doi.org/10.11646/zootaxa.3955.3.3",
Hymenoptera,Aclastus sp. 02,Ichneumonidae,Phygadeuontinae,2.4-2.6 [1]; 3-4 [9],12 [1]; 4 [9],3 [7] ; 3.5 [8],1 [7]; 1 [8],2.5 [1]; ,7 [1],3.8 [6],1 [6],spider eggs sacs of the family Linyphiidae [2; 3; 4] and Amaurobiidae [5],idiobiont solitary parasitoids  [1],,"2. Wingerden, W.K.R.E. (1973) Dynamik einer Population von Erigone arctica White (Araneae, Micryphantidae). Prozesse der Natalität. Faunistisch-Ökologische Mitteilungen, 4(5): 207-222.",
Hymenoptera,Aclastus sp. 03,Ichneumonidae,Phygadeuontinae,2.4-2.6 [1]; 3-4 [9],12 [1]; 4 [9],3 [7] ; 3.5 [8],1 [7]; 1 [8],2.5 [1]; ,7 [1],3.8 [6],1 [6],spider eggs sacs of the family Linyphiidae [2; 3; 4] and Amaurobiidae [5],idiobiont solitary parasitoids  [1],,"3. Horstmann, K. (1980) Revision der europäischen Arten der Gattung Aclastus Förster. Polskie Pismo Entomologiczne, 50: 133-158.",
Hymenoptera,Amblyaclastus sp.,Ichneumonidae,Phygadeuontinae,3 [11],1 [11],NA,NA,2.65 [11],1 [11],NA,NA,unknown [10],unknown [10],"forest, fragment [86]","4. Finch, O.D. (2005) The parasitoid complex and parasitoid-induced mortality of spiders (Araneae) in a central European woodland. Journal of Natural History, 39(25): 2339-2354. http://dx.doi.org/10.1080/00222930500101720",Na diagnose do gênero o tamanho da asa anterior é dado como 3-5 mm.  Foram analisadas 6 fêmeas e 4 machos. Gauld (1984) não especifica o tamanho para cada sexo  [10]
Hymenoptera,Aucklandella sp. 03,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","5. Schwarz, M. & Shaw, M.R. (2000) Western Palaearctic Cryptinae (Hymenoptera: Ichneumonidae) in the National Museums of Scotland, with nomenclatural changes, taxonomic notes, rearing records and special reference to the British check list. Part 3. Tribe Phygadeuontini, subtribea Chiroticina, Acrolytina, Hemitelina and Gelina (excluding Gelis), with descriptions of new species. Entomologist's Gazette, 51: 147-186.",
Hymenoptera,Aucklandella sp. 04,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","6. Rossem, G. (1990) Key to the Genera of the Palaearctic Oxytorinae, with the Description of Three New Genera (Hymenoptera: Ichneumonidae). Zoologische Mededelingen, 63(23): 309-323.",
Hymenoptera,Aucklandella sp. 05,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","7. Davis, G.C. (1897) A Review of the Ichneumonid Subfamily Tryphoninae. Transactions of the American Entomological Society, 24: 193-348.",
Hymenoptera,Aucklandella sp. 06,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","8. Ashmead, W.H. (1902) Papers from the Harriman Alaska Expedition XXVIII. Hymenoptera. Proceedings of the Washington Academy of Science, 4: 117-268.",
Hymenoptera,Aucklandella sp. 07,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","9. Graham, M.W.R.V. (1988) Madeira Atlantic, a revised list of Ichneumonidae (Hymenoptera) with additions: description of a new species of Aclastus Förster and of the hitherto unknown female of Dichrogaster madeirae Roman. Boletim do Museu Municipal do Funchal, 40: 5-44.",
Hymenoptera,Aucklandella sp. 09,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","10. Gauld, I.D. (1984) An introduction to the Ichneumonidae of Australia. British Museum (Natural History). The Chameleon Press Ltda. Cromwell Road, London, Great Britain. 413 pp.",
Hymenoptera,Aucklandella sp. 11,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]",11. Auckland Museum (https://www.aucklandmuseum.com/collection/object/am_naturalsciences-object-824027) [Access on 19/04/2022],
Hymenoptera,Aucklandella sp. 12,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","12. Valentine, E.W. & Walker, A.K. (1991) Annotated catalogue of New Zealand Hymenoptera. Department of Scientific and Industrial Research, Auckland, New Zealand. 84pp.",
Hymenoptera,Aucklandella sp. 13,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","13. Cameron, P. (1901) On a collection of Hymenoptera made in the neighbourhood of Wellington by Mr. G.V. Hudson, with descriptions of new genera and species. Transactions of the New Zealand Institute, 33: 104-120.",
Hymenoptera,Aucklandella sp. 15,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","14. Smith, F. (1876) Descriptions of new species of Hymenopterous insects of New Zealand, collected by C.M. Wakefield, Esq., principally in the neighbourhood of Canterbury. Transactions of the Entomological Society of London, 473-487.",
Hymenoptera,Aucklandella sp. 16,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","15. Ward, D.F. & Schnnitzler, F.R. (2013) Ichneumonidae of New Zealand. Ichneumonidae Image Gallery. Available at https://oldwww.landcareresearch.co.nz/science/plants-animals-fungi/animals/invertebrates/systematics/hymenoptera/ichneumonidae/ichneumonidae-image-gallery. Accessed on 5 May 2022",
Hymenoptera,Aucklandella sp. 17,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","16. Vas, Z. (2021) New species and records of Afrotropical Campoletis Förster, 1869 (Hymenoptera: Ichneumonidae: Campopleginae). Annales Musei Historico-Naturalis Hungarici, 113: 39-49.",
Hymenoptera,Aucklandella sp. 18,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","17. Townes, H. (1970) The Genera of Ichneumonidae, Part 3. Memoirs of the American Entomological Institute, 13: 1-310.",
Hymenoptera,Aucklandella sp. 19,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","18. Wei, Y-W; Zhou, Y-B; Zou, Q-C & Sheng, M-L (2020) A new species of Campoletis Förster (Hymenoptera, Ichneumonidae) with a key to species known from China, Japan and South Korea. ZooKeys, 1004: 99-108. http://dx.doi.org/10.3897/zookeys.1004.57913",
Hymenoptera,Aucklandella sp. 20,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","19. Camargo, L.F.; Brito, R.A. & Penteado-Dias, A.M. (2015) Redescription of Campoletis sonorensis (Cameron, 1886) (Hymenoptera, Ichneumonidae, Campopleginae), parasitoid of Spodoptera frugiperda (J.E. Smith, 1797) (Lepidoptera, Noctuidae) in Brazil. Brazilian Journal of Biology, 75(4): 989-998. http://dx.doi.org/10.1590/1519-6984.04914",
Hymenoptera,Aucklandella sp. 21,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","20. Broad, G.R.; Shaw, M.R. & Fitton, M.G. (2018) Ichneumonid Wasps (Hymenoptera: Ichneumonidae): their Classification and Biology. Royal Entomological Society the Field Studies Council, Handbooks for the Identification of British Insects, 7(12): 1-424.",
Hymenoptera,Aucklandella sp. 22,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","21. Onody, H.C. & Penteado-Dias, A.M. (2006) Aiura, a new genus of Campopleginae (Hymenoptera; Ichneumonidae) from Brazil. Brazilian Journal of Biology, 66(2B): 755-758.",
Hymenoptera,Aucklandella sp. 23,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","22. Vikberg, V. (1999) Lathroplex anthreni sp. n. (Hymenoptera, Ichneumonidae), a parasitoid on Anthrenus museorum (Linnaeus) in southern Finland. Entomologica Fennica, 10: 239-244.",
Hymenoptera,Aucklandella sp. 24,Ichneumonidae,Ichneumoninae,9-10 [13]; 8.48-9.54 [14]; 4.7-9.57 [15],não informado [13] [14]; 2 [15],8-11 [13],não informado [13],3.5-8.54 [15],2 [15],NA,NA,parasitoid of Lepidoptera: Izatha attactella (Oecophoridae) and Pseudocoremia suavis (Geometridae) [12],NA,"forest, fragment [86]","24. Graf, V. & Kumagai, A.F. (1997) Novo Gênero de Campopleginae (Hymenoptera, Ichneumonidae) do Brasil. Revista Brasileira de Zoologia, 14(3): 649-658.",
