id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
4,200,3.5772,24.8555,1,6.9482,0,0,122.2485,24.8555,0.0548,0
4,400,1.7886,13.1498,4,7.3519,61.0904,69.281,66.2662,11.0092,0.0794,0.386
4,600,0.8735,8.7744,12,10.0449,82.0952,63.3188,48.7705,5.0139,0.0957,0.2612
4,800,0.6794,9.7454,30,14.3442,97.2225,58.5153,56.405,2.864,0.102,0.2357
4,1000,0.8474,11.2741,43,13.3045,88.9034,59.7122,63.3618,1.8533,0.0992,0.2551
4,1200,0.9522,11.4875,56,12.0635,94.0421,63.8505,59.4617,1.7563,0.098,0.2604
4,1400,0.874,10.9643,79,12.5444,98.1286,64.1074,56.3796,1.3078,0.0994,0.2504
4,1600,0.8394,10.227,100,12.1837,99.9973,64.3296,52.5364,1.2062,0.0997,0.2464
4,1800,0.7323,9.6751,137,13.2114,97.9401,61.9129,51.818,0.9547,0.101,0.2346
4,2000,0.8411,10.1367,154,12.0517,97.9856,65.0412,50.2451,1.3672,0.1005,0.2412
