id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
9,200,13.9079,96.5318,1,6.9408,0,0,32.048,96.5318,0.0133,0
9,400,18.2385,68.0124,2,3.7291,64.5294,90.048,104.9243,67.8571,0.0791,0.426
9,600,13.225,55.7976,5,4.2191,101.2918,85.8263,115.9122,55.0949,0.0947,0.303
9,800,5.2883,50.5976,20,9.5678,68.5916,81.8476,130.0482,45.498,0.0909,0.2979
9,1000,5.2578,48.5641,30,9.2366,70.9189,81.8649,122.4368,40.4872,0.093,0.285
9,1200,5.4195,46.6822,40,8.6137,76.1315,81.3639,122.5494,35.4914,0.0967,0.2665
9,1400,5.2214,46.3988,56,8.8863,71.0338,81.4863,120.0705,30.6727,0.0932,0.2882
9,1600,5.174,44.7635,71,8.6517,71.9625,81.1831,118.8236,26.9434,0.0952,0.2732
9,1800,4.5046,43.9431,101,9.7552,72.117,80.7014,117.6805,24.445,0.0984,0.2563
9,2000,5.3231,45.4172,109,8.5321,72.3388,81.1651,117.9837,22.914,0.0983,0.2576
