id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
19,200,13.8843,100,1,7.2024,0,0,0,100,0.0114,0
19,400,22.7415,85.0746,2,3.7409,56.496,97.5275,40.6844,84.4776,0.0486,0.6318
19,600,43.2887,73.41,2,1.6958,159.7947,96.3878,44.3108,73.207,0.0517,0.6036
19,800,21.5446,62.2598,6,2.8898,105.104,95.1884,49.3869,60.7994,0.0664,0.478
19,1000,18.4645,57.1358,10,3.0944,97.4194,92.8493,61.7109,56.1975,0.0975,0.2754
19,1200,20.4889,57.5319,13,2.808,92.7132,92.561,61.5639,56.1703,0.0913,0.31
19,1400,20.3034,57.96,18,2.8547,93.1336,93.1405,56.9853,56.3655,0.0922,0.3056
19,1600,22.4148,57.3609,21,2.5591,97.3277,93.4129,55.318,55.9218,0.0948,0.2885
19,1800,23.3512,56.2683,25,2.4097,109.7159,93.5546,53.0113,54.0071,0.0878,0.3393
19,2000,22.7904,55.296,31,2.4263,113.4743,93.4414,52.7297,52.9853,0.0968,0.2807
