id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
27,200,0.1197,1.7045,2,14.2411,205.6484,50,14.0798,1.1364,0.1239,0.0833
27,400,0.2394,1.3393,3,5.5947,152.7687,58.3333,11.0627,0.744,0.1023,0.2185
27,600,0.5286,3.5908,8,6.7925,238.3357,58.2418,18.4679,1.8293,0.1028,0.2427
27,800,3.0921,11.8638,8,3.8369,210.8114,88.8699,21.6767,9.4527,0.0841,0.3762
27,1000,3.757,13.9472,12,3.7123,155.3909,91.1275,19.4001,12.0464,0.0937,0.3147
27,1200,7.1386,20.0414,13,2.8075,182.0954,93.0882,19.0943,18.68,0.0942,0.2983
27,1400,9.6927,26.126,17,2.6954,138.5946,93.2904,23.917,23.621,0.0914,0.327
27,1600,13.6029,31.4894,19,2.3149,140.3945,92.4733,33.1775,27.8145,0.0915,0.3197
27,1800,16.2851,36.1188,23,2.2179,124.8982,92.4216,37.6453,29.5091,0.0868,0.3526
27,2000,17.1266,40.2111,30,2.3479,124.322,92.6948,40.8547,30.5627,0.0941,0.299
