id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
47,200,1.9018,13.2948,1,6.9906,0,0,64.3256,13.2948,0.0484,0
47,400,0.4631,4.2683,5,9.2178,185.6901,68.8889,25.4459,3.5061,0.114,0.1551
47,600,0.3059,2.5659,10,8.3868,178.0796,57.377,18.0874,1.595,0.1173,0.1331
47,800,0.3583,2.5671,15,7.1645,138.6772,55.7522,17.0309,0.9084,0.1153,0.1515
47,1000,0.505,4.3645,28,8.6428,139.3656,57.7778,26.2728,1.4548,0.1116,0.1673
47,1200,0.645,5.5546,40,8.6122,145.6266,58.5034,33.2468,1.8693,0.1089,0.1827
47,1400,0.651,5.6765,55,8.7199,128.7621,58.3738,33.9189,1.4945,0.1045,0.2137
47,1600,0.6657,6.3262,78,9.5025,124.7426,57.6763,36.8184,1.1484,0.1005,0.2372
47,1800,0.9405,8.9778,99,9.5461,120.8885,66.8956,41.3142,1.4432,0.0993,0.2481
47,2000,1.1345,10.4776,118,9.2354,115.6978,69.5597,44.8766,1.935,0.0993,0.2514
