id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
56,200,14.0432,98.2659,1,6.9974,0,0,12.0669,98.2659,0.0123,0
56,400,53.6121,98.9329,1,1.8453,0,0,11.6684,98.9329,0.0071,0
56,600,37.5037,94.3867,3,2.5167,89.9145,98.3019,20.7359,94.2481,0.0947,0.3173
56,800,38.6272,92.2652,5,2.3886,67.673,97.9253,25.6759,91.9495,0.0985,0.2691
56,1000,49.4129,91.1839,6,1.8453,86.3294,97.8464,26.2538,90.9553,0.1013,0.2433
56,1200,60.1263,90.61,7,1.507,78.6234,97.6112,29.5149,90.4322,0.1068,0.2006
56,1400,62.4511,89.3617,9,1.4309,91.123,97.4931,30.5706,89.2041,0.1139,0.1561
56,1600,55.4422,87.9182,13,1.5858,74.8538,97.3585,32.5702,87.6159,0.1126,0.1717
56,1800,40.3386,85.6972,22,2.1244,69.9792,97.3165,32.5004,84.6362,0.102,0.2261
56,2000,32.6249,84.3287,33,2.5848,75.5871,97.1901,33.2958,82.8664,0.1057,0.1996
