id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
113,200,4.7074,65.2941,2,13.8705,105.0066,97,46.4552,64.7059,0.0768,0.4311
113,400,4.0854,45.4403,6,11.1226,76.1254,91.3603,76.6631,42.2956,0.0847,0.3297
113,600,2.3219,31.108,16,13.3976,71.8186,84.7722,73.4039,24.2188,0.0888,0.3064
113,800,3.5152,30.2883,18,8.6163,74.4537,79.4015,89.2217,14.3727,0.084,0.3469
113,1000,4.7383,32.1981,22,6.7953,72.551,80.7708,87.2579,9.2743,0.0814,0.3686
113,1200,4.1561,28.6131,32,6.8846,101.1814,79.8429,82.8962,6.7518,0.0859,0.3342
113,1400,4.4497,27.5593,39,6.1935,87.6055,78.9053,82.3723,5.2802,0.0822,0.3609
113,1600,3.5454,25.8984,60,7.3048,92.39,78.5148,78.4306,4.2131,0.0917,0.2951
113,1800,3.2241,26.1443,84,8.109,96.8007,77.3438,81.167,4.5034,0.0905,0.3029
113,2000,3.2767,27.1822,106,8.2956,87.2881,77.8467,83.2371,7.2552,0.0922,0.2967
