id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
121,200,14.7849,100,1,6.7637,0,0,0,100,0.0111,0
121,400,55.1854,100,1,1.8121,0,0,0,100,0.006,0
121,600,118.4508,100,1,0.8442,0,0,0,100,0.0041,0
121,800,207.9336,100,1,0.4809,0,0,0,100,0.003,0
121,1000,324.2355,100,1,0.3084,0,0,0,100,0.0025,0
121,1200,465.1215,100,1,0.215,0,0,0,100,0.0021,0
121,1400,631.5372,100,1,0.1583,0,0,0,100,0.0018,0
121,1600,807.0645,98.2216,1,0.1217,0,0,2.1766,98.2216,0.0016,0
121,1800,140.6036,95.1866,7,0.677,89.6887,99.5019,7.9393,94.4384,0.0846,0.3415
121,2000,73.4945,92.084,16,1.2529,81.5543,99.1189,11.8698,90.2868,0.0991,0.2422
