id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
139,200,14.1325,100,1,7.0759,0,0,0,100,0.0113,0
139,400,53.6708,100,1,1.8632,0,0,0,100,0.006,0
139,600,118.7783,100,1,0.8419,0,0,0,100,0.004,0
139,800,208.9648,100,1,0.4785,0,0,0,100,0.0031,0
139,1000,324.1487,100,1,0.3085,0,0,0,100,0.0025,0
139,1200,461.3074,99.2268,1,0.2151,0,0,2.7665,99.2268,0.0023,0
139,1400,608.3506,96.6014,1,0.1588,0,0,7.7609,96.6014,0.0023,0
139,1600,188.8689,92.0932,4,0.4876,103.4091,99.2679,11.4976,92.0633,0.1056,0.2451
139,1800,185.2908,89.4048,5,0.4825,111.5508,98.5981,17.3766,87.449700000000007,0.0683,0.4987
139,2000,223.9469,87.708,5,0.3916,68.2772,98.4657,19.0296,82.7745,0.0551,0.5844
