id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
163,200,3.539,24.6575,1,6.9673,0,0,69.5624,24.6575,0.0289,0
163,400,1.8788,10.4496,3,5.562,64.9016,83.6601,39.8688,9.7205,0.0812,0.4324
163,600,1.9661,19.9446,12,10.1441,100.2232,81.5249,52.804,10.6925,0.0853,0.3919
163,800,4.1114,29.6285,15,7.2064,86.7649,86.9231,60.1426,20.1196,0.1015,0.302
163,1000,5.5609,34.4569,20,6.1963,77.9445,89.8822,55.2023,26.6599,0.0988,0.3159
163,1200,5.6404,38.8928,32,6.8955,77.2495,91.2641,52.4614,31.2526,0.093,0.3559
163,1400,7.1295,41.9577,37,5.8851,69.8434,91.3543,57.7806,34.5252,0.0873,0.3861
163,1600,7.6213,41.874,45,5.4943,76.499,91.3284,58.3569,34.6403,0.0958,0.3357
163,1800,8.4,43.0482,53,5.1248,71.8198,91.1258,59.8554,35.0507,0.0932,0.3475
163,2000,8.2838,44.1948,68,5.3351,74.1509,91.2432,61.4812,37.6285,0.1003,0.3057
