id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
165,200,14.0906,97.7273,1,6.9356,0,0,12.4288,97.7273,0.0116,0
165,400,6.8684,64.2945,5,9.361,74.0984,91.2176,98.254,60.9816,0.0709,0.5008
165,600,8.2414,55.6416,8,6.7515,85.9339,91.3244,84.4758,52.7655,0.0857,0.4041
165,800,5.9989,43.3807,15,7.2315,111.8896,90.5653,73.9277,40.7583,0.1014,0.3133
165,1000,5.3774,33.3198,20,6.1963,95.9706,88.6875,66.9407,28.8528,0.0946,0.3509
165,1200,4.0017,29.3428,34,7.3326,92.1476,87.266,62.6648,21.4982,0.0967,0.3436
165,1400,3.973,28.4463,45,7.1598,98.3142,86.937,60.5277,16.0897,0.0944,0.3477
165,1600,4.5928,28.6057,51,6.2284,102.3595,86.9522,60.6845,12.3499,0.094,0.3537
165,1800,5.1165,28.7055,58,5.6104,104.2425,87.0642,59.4572,12.9517,0.0947,0.3443
165,2000,5.4218,28.0806,66,5.1792,115.0181,87.8481,55.4268,15.1255,0.0959,0.3342
