id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
175,200,3.612,75.9259,3,21.0205,59.3624,89.6861,120.6234,67.9012,0.0672,0.4774
175,400,3.0443,51.3201,9,16.8581,80.0246,80.8874,137.8789,44.2244,0.1019,0.2403
175,600,4.493,57.0045,15,12.6875,64.0422,83.7856,123.0162,33.6066,0.1082,0.188
175,800,5.0744,60.6316,25,11.9485,67.626,85.592,114.3379,29.1368,0.1007,0.2304
175,1000,8.6793,66.893,25,7.7071,68.2631,88.7899,97.8166,34.0304,0.1041,0.2082
175,1200,14.6088,72.4819,23,4.9615,67.0541,90.3785,91.3675,38.1224,0.1032,0.2155
175,1400,16.578,73.7749,28,4.4502,67.182,90.9257,89.3939,72.7527,0.1113,0.1606
175,1600,19.1199,74.4612,32,3.8944,67.9005,90.8402,90.595,73.507,0.1069,0.1799
175,1800,21.2192,73.6578,36,3.4713,67.8826,90.8073,92.5282,72.7404,0.1049,0.1905
175,2000,18.6414,72.9957,50,3.9158,69.8714,90.8705,89.2842,71.9056,0.1058,0.1834
