id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
176,200,14.2718,100,1,7.0068,0,0,0,100,0.0112,0
176,400,54.0917,100,1,1.8487,0,0,0,100,0.0059,0
176,600,118.9313,100,1,0.8408,0,0,0,100,0.004,0
176,800,209.4072,100,1,0.4775,0,0,0,100,0.0031,0
176,1000,324.7266,100,1,0.308,0,0,0,100,0.0025,0
176,1200,464.8012,100,1,0.2151,0,0,0,100,0.0021,0
176,1400,630.6003,100,1,0.1586,0,0,0,100,0.0018,0
176,1600,821.419,100,1,0.1217,0,0,0,100,0.0016,0
176,1800,1036.9931,99.9915,1,0.0964,0,0,0.1145,99.9915,0.0014,0
176,2000,1275.4724,99.8965,1,0.0783,0,0,1.0693,99.8965,0.0014,0
