id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
181,200,0.8281,29.1925,5,35.2518,68.1013,76.25,115.0948,24.8447,0.0995,0.2178
181,400,2.4416,31.5447,7,12.9199,62.3653,74.1667,114.4959,12.5203,0.0847,0.3517
181,600,3.2054,34.9593,13,10.9064,70.4667,76.0532,112.3046,11.6778,0.0929,0.3012
181,800,3.0577,35.2071,24,11.5142,73.5658,75.6841,118.048,13.5249,0.097,0.25
181,1000,2.7762,33.3424,39,12.0101,80.6423,73.9003,120.013,12.0727,0.0967,0.2472
181,1200,3.1333,35.6872,53,11.3898,79.2571,74.2873,120.9369,22.4725,0.0952,0.2554
181,1400,4.8796,41.7271,54,8.5513,81.1039,79.3597,113.605,22.9213,0.102,0.2084
181,1600,5.4046,45.4672,69,8.4127,77.0256,82.4355,106.3214,22.2879,0.1004,0.2146
181,1800,5.8392,50.0849,89,8.5774,74.7796,84.7475,101.2343,25.4033,0.1037,0.1967
181,2000,6.7192,52.5674,100,7.8235,74.3724,86.0535,97.8302,28.7752,0.1033,0.1997
