id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
184,200,11.7286,82.0988,1,6.9999,0,0,78.9897,82.0988,0.0182,0
184,400,3.8912,57.4919,8,14.7749,63.9803,80.2395,156.8555,54.7231,0.1114,0.1595
184,600,5.7481,53.0718,11,9.233,65.8667,83.0435,122.6343,51.1473,0.1065,0.1853
184,800,7.2918,55.7053,16,7.6394,71.0686,84.4928,114.848,49.2211,0.1046,0.2017
184,1000,8.7824,59.5219,22,6.7774,69.2517,85.7043,110.8763,49.1443,0.1101,0.1677
184,1200,10.1445,61.259,28,6.0387,68.058,86.141,113.0384,59.9467,0.1156,0.1298
184,1400,13.7751,63.4632,29,4.6071,69.1911,87.2269,107.987,62.4685,0.1134,0.1401
184,1600,12.4719,63.7681,42,5.1129,72.595,88.0341,103.0662,62.5335,0.1138,0.1377
184,1800,9.8849,61.9347,65,6.2656,72.7131,87.8897,103.0504,60.3281,0.1134,0.1405
184,2000,9.5337,61.2224,82,6.4217,74.6373,87.3268,103.8842,58.9434,0.1087,0.1689
