id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
198,200,0.2521,10.625,6,42.144,106.4345,40,85.9046,4.375,0.1156,0.1306
198,400,0.8423,23.3169,15,27.6808,82.0842,58.0769,130.46190000000001,5.4187,0.0854,0.3321
198,600,1.1768,30.8271,31,26.1948,72.9753,64.4416,142.917,7.4436,0.0966,0.2575
198,800,1.6906,34.8252,43,20.599,71.9567,68.2107,149.3278,8.4399,0.0954,0.2624
198,1000,2.0169,35.475,57,17.5889,72.2873,70.621,140.7408,7.9901,0.0981,0.2484
198,1200,2.3926,37.0455,72,15.4835,71.7513,71.5645,141.318,9.2614,0.0981,0.2404
198,1400,2.3432,35.6709,96,15.2235,76.4529,72.9768,132.0231,9.5809,0.1006,0.224
198,1600,2.4508,34.668,116,14.1456,73.2631,73.311,125.6777,9.7548,0.0985,0.2385
198,1800,2.499,33.9564,141,13.5879,72.5983,73.069,122.7747,9.2351,0.0988,0.2387
198,2000,2.744,33.0756,154,12.054,71.6062,73.7073,117.9098,8.5109,0.098,0.2437
