id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
216,200,3.2467,67.7019,3,20.8522,66.8431,93.9086,72.7228,65.8385,0.0839,0.3396
216,400,7.9084,59.0985,4,7.4729,70.2365,90,85.4462,57.429,0.0861,0.3314
216,600,18.2071,61.1862,4,3.3606,75.6968,91.5394,72.3297,60.5105,0.085,0.3435
216,800,10.9198,51.9558,10,4.7579,94.128,90.1011,77.2309,50.5102,0.0963,0.2544
216,1000,11.1828,48.1848,14,4.3088,69.4532,87.3392,82.9872,45.6546,0.0918,0.3019
216,1200,11.9643,46.3908,18,3.8774,73.0298,86.9307,82.8102,43.4264,0.0856,0.3368
216,1400,16.4265,44.2134,17,2.6916,70.9856,87.6833,76.1531,42.1619,0.0896,0.3084
216,1600,20.0797,41.576,17,2.0705,72.3289,88.7972,65.2811,39.9978,0.0895,0.3091
216,1800,20.3517,39.3045,20,1.9313,69.6585,88.8468,61.1953,37.9239,0.0894,0.3098
216,2000,21.548,37.0823,22,1.7209,103.9463,89.4973,54.4369,35.887,0.0886,0.3116
