id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
220,200,4.2893,30,1,6.9942,0,0,56.4511,30,0.0237,0
220,400,9.5615,17.8333,1,1.8651,0,0,25.6469,17.8333,0.0188,0
220,600,4.4531,22.4306,6,5.0371,236.397,89.698,32.6243,15.4539,0.0672,0.4777
220,800,11.3785,32.5939,6,2.8645,180.3456,91.8478,36.2497,13.4386,0.0352,0.7067
220,1000,12.7884,35.5017,9,2.7761,180.964,93.1709,34.9462,11.7696,0.043,0.646
220,1200,15.8435,34.0111,10,2.1467,178.9767,93.0945,36.0643,11.0301,0.0385,0.6807
220,1400,15.7795,30.061,12,1.9051,208.4001,93.1001,33.2199,10.2,0.0442,0.643
220,1600,10.1017,27.0561,22,2.6784,173.5115,92.0599,32.499,8.5836,0.0604,0.5185
220,1800,10.2069,26.5656,27,2.6027,184.1474,91.43,32.0434,6.7965,0.0611,0.5138
220,2000,10.3224,28.2965,35,2.7413,139.3086,91.0656,33.6679,5.5221,0.063,0.4934
