id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
239,200,14.2849,100,1,7.0004,0,0,0,100,0.0113,0
239,400,54.2994,99.8464,1,1.8388,0,0,1.5944,99.8464,0.0061,0
239,600,55.4271,93.5166,2,1.6872,57.8057,98.6052,20.2374,93.3756,0.0547,0.5607
239,800,176.6818,84.4311,1,0.4779,0,0,29.9717,84.4311,0.0059,0
239,1000,244.1801,75.3739,1,0.3087,0,0,27.8359,75.3739,0.0055,0
239,1200,52.2806,67.5117,6,1.2913,151.8595,97.658,28.4279,67.0622,0.0697,0.43
239,1400,34.706,60.586,11,1.7457,106.6435,96.7681,31.4658,59.3398,0.0738,0.4184
239,1600,32.2634,54.9771,14,1.704,96.5205,95.9872,36.2697,53.0961,0.0779,0.3952
239,1800,31.7599,49.0367,16,1.544,99.8003,95.0791,38.7405,46.6505,0.0763,0.409
239,2000,21.1253,42.9851,26,2.0348,127.9133,94.2558,39.5614,39.9582,0.085,0.3468
