id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
241,200,14.7318,98.9418,1,6.7162,0,0,15.0807,98.9418,0.013,0
241,400,54.5154,99.7118,1,1.8291,0,0,4.107,99.7118,0.0064,0
241,600,119.3509,99.8682,1,0.8368,0,0,1.8789,99.8682,0.0042,0
241,800,209.002,99.8495,1,0.4777,0,0,2.1455,99.8495,0.0033,0
241,1000,323.3111,99.9026,1,0.309,0,0,1.3877,99.9026,0.0026,0
241,1200,229.7604,99.167,2,0.4316,56.1354,99.6091,4.1794,99.0819,0.0368,0.7073
241,1400,611.5653,97.4028,1,0.1593,0,0,9.3876,97.4028,0.0025,0
241,1600,85.7121,94.1086,9,1.098,82.2542,98.8291,16.7783,93.9356,0.1106,0.1987
241,1800,73.677,92.3019,13,1.2528,63.6403,98.1573,23.2887,91.0264,0.1013,0.2718
241,2000,147.6131,92.4225,8,0.6261,67.5027,98.0427,24.6689,92.33,0.1127,0.1879
