id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
256,200,3.071,63.5897,3,20.7062,54.5159,85.7778,165.5599,60.5128,0.077,0.4113
256,400,2.8531,53.4819,10,18.7452,63.4872,78.2967,168.1042,48.8858,0.1002,0.2673
256,600,3.3342,44.9875,16,13.4928,62.6718,77.5687,154.01,37.2807,0.0937,0.3066
256,800,1.9197,33.9489,37,17.6841,77.741,74.7027,132.3635,24.5384,0.1066,0.2332
256,1000,1.3873,28.7851,67,20.7491,75.8993,70.8762,126.7907,19.9494,0.1115,0.2025
256,1200,1.1578,25.7047,103,22.2018,76.9789,68.6801,120.4476,15.1986,0.1105,0.2079
256,1400,1.2766,26.7453,132,20.9504,72.7346,68.491,123.6874,15.6958,0.1093,0.2144
256,1600,1.4194,28.2654,163,19.9131,72.3112,70.0948,124.0757,16.5199,0.1101,0.2091
256,1800,1.66,30.9414,193,18.6395,70.5857,72.6919,123.3065,16.1596,0.106,0.2349
256,2000,1.8094,32.8775,232,18.1699,67.8065,74.0156,124.9927,15.2866,0.1037,0.2486
