id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
284,200,13.9413,100,1,7.1729,0,0,0,100,0.0111,0
284,400,54.3446,100,1,1.8401,0,0,0,100,0.0059,0
284,600,119.5226,100,1,0.8367,0,0,0,100,0.004,0
284,800,208.6761,100,1,0.4792,0,0,0,100,0.0031,0
284,1000,324.6468,100,1,0.308,0,0,0,100,0.0025,0
284,1200,465.8361,100,1,0.2147,0,0,0,100,0.0021,0
284,1400,630.7347,100,1,0.1585,0,0,0,100,0.0018,0
284,1600,819.9639,99.9675,1,0.1219,0,0,0.2906,99.9675,0.0016,0
284,1800,1036.3655,99.846,1,0.0963,0,0,1.2058,99.846,0.0015,0
284,2000,1273.9899,99.6666,1,0.0782,0,0,2.9607,99.6666,0.0015,0
