id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
292,200,14.1354,100,1,7.0745,0,0,0,100,0.0112,0
292,400,51.321,95.5157,1,1.8611,0,0,15.2959,95.5157,0.0073,0
292,600,53.9313,91.2364,2,1.6917,102.1807,97.7795,29.2452,91.1685,0.074,0.4727
292,800,62.3241,89.8148,3,1.4411,66.1263,97.2143,34.0336,89.7377,0.0963,0.3156
292,1000,36.0111,88.8531,8,2.4674,61.8947,97.0938,34.3508,87.5898,0.0958,0.2985
292,1200,51.9836,89.6003,8,1.7236,61.0584,97.0623,35.7195,89.1504,0.0976,0.2887
292,1400,50.8245,88.9244,11,1.7496,61.6888,97.1574,35.7909,88.4262,0.1022,0.2565
292,1600,47.5837,87.136,15,1.8312,85.4101,97.0486,36.3966,86.3516,0.107,0.2261
292,1800,49.3489,85.7364,18,1.7374,70.4978,96.9784,37.0914,84.5271,0.097,0.2872
292,2000,58.9108,83.0012,18,1.4089,68.6679,96.9514,37.1117,81.7187,0.0981,0.2761
