id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
304,200,11.4047,82.0809,1,7.1971,0,0,53.031,82.0809,0.0129,0
304,400,6.3248,46.3235,4,7.3241,75.3444,87.3737,97.0366,41.3235,0.0648,0.513
304,600,2.9502,37.0296,15,12.5514,68.4514,82.4645,93.9064,28.1586,0.095,0.3046
304,800,3.0103,38.7888,27,12.8853,77.7361,82.0408,101.9765,20.9659,0.0981,0.2805
304,1000,3.6555,37.1139,33,10.1528,80.4606,81.6473,98.5254,16.1601,0.091,0.3337
304,1200,3.6945,35.7513,45,9.677,81.291,81.7239,94.218,11.7444,0.095,0.3065
304,1400,4.0329,35.8536,56,8.8902,83.0147,81.6204,93.6702,8.6702,0.0935,0.313
304,1600,4.3544,36.6298,69,8.412,79.7031,82.09,92.9398,12.3862,0.0974,0.285
304,1800,4.2959,34.8322,84,8.1083,85.406,82.3184,90.1094,12.5204,0.0974,0.2797
304,2000,4.1005,34.3736,107,8.3827,87.4541,82.1674,87.1438,12.5653,0.0954,0.293
