id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
319,200,3.3152,48.0769,2,14.5021,89.1987,76.5152,166.008,47.4359,0.0886,0.3255
319,400,3.9529,50.8943,7,12.875,67.4107,77.2881,158.5936,48.7805,0.101,0.2245
319,600,6.0356,55.6296,11,9.2169,67.399,80.8569,141.756,50.6667,0.0971,0.2645
319,800,5.9894,57.4153,20,9.5861,67.8414,84.0668,120.565,48.4746,0.0922,0.2845
319,1000,5.0749,57.9378,37,11.4166,69.1811,85.4874,114.5864,46.1266,0.0956,0.2562
319,1200,5.7039,58.7666,48,10.3028,69.7949,85.7119,110.7266,43.7951,0.0941,0.2717
319,1400,8.6224,61.4448,45,7.1262,68.9591,86.4777,110.1317,49.405,0.0944,0.2669
319,1600,8.6835,61.357,58,7.066,69.5127,86.8274,109.5375,46.9036,0.0986,0.238
319,1800,8.7769,60.0887,71,6.8462,69.1153,86.145,112.4151,43.3552,0.0964,0.2497
319,2000,9.0478,59.4003,84,6.5652,70.1278,86.0183,111.8459,41.3874,0.0996,0.2242
