id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
343,200,1.3968,48.7654,5,34.9125,64.3921,75.7143,147.403,19.7531,0.0633,0.4944
343,400,3.1273,46.2418,8,14.7865,72.2776,80.2632,125.8482,17.8105,0.0769,0.4115
343,600,4.6106,50.597,13,10.974,61.6255,80.1995,137.2921,19.7015,0.0783,0.3925
343,800,6.2195,50.4641,17,8.1138,66.4608,78.596,146.5936,22.3207,0.0868,0.3334
343,1000,6.2495,50.0272,26,8.005,66.3366,77.2981,151.5947,20.6587,0.0932,0.2853
343,1200,10.0081,51.7425,24,5.1701,62.9807,78.9079,146.611,21.3102,0.097,0.2617
343,1400,10.1582,51.6143,32,5.081,65.3281,79.7013,142.2926,20.9433,0.0961,0.2607
343,1600,8.3659,49.8763,49,5.9618,67.2686,79.6104,138.1922,28.3963,0.099,0.2408
343,1800,7.3734,49.1041,69,6.6596,67.3154,79.7412,133.3259,27.7816,0.0973,0.2464
343,2000,8.8039,51.685,75,5.8707,67.2904,80.8263,132.0548,28.7593,0.0971,0.25
