id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
353,200,3.5611,25.4545,1,7.148,0,0,74.9293,25.4545,0.0294,0
353,400,1.0598,7.8493,4,7.406,150.5656,81.1765,32.3478,6.5934,0.0961,0.2842
353,600,0.9157,3.8599,5,4.2152,130.725,76.3441,18.1655,3.0021,0.0929,0.294
353,800,0.5841,2.5091,9,4.2957,188.4025,69.4444,12.9254,1.6997,0.1025,0.2189
353,1000,1.2012,4.4503,12,3.705,201.9312,79.5527,14.2944,1.9895,0.0892,0.3235
353,1200,1.4915,7.0608,22,4.734,168.135,80.654,20.5517,3.3935,0.0866,0.3344
353,1400,1.5288,8.007,33,5.2376,136.4707,78.8782,25.2335,2.5165,0.088,0.3301
353,1600,1.475,8.6243,48,5.8471,135.3135,78.9082,26.3901,2.2,0.0931,0.286
353,1800,1.7367,10.0581,60,5.7914,133.0477,80.8127,27.3189,3.5518,0.093,0.2886
353,2000,1.8936,11.5579,78,6.1036,129.4889,82.0882,29.234,4.7373,0.0943,0.2787
