id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
361,200,0,17.1526,0,0,0,0,0,0,0,0
361,400,0.0828,0.1524,1,1.84,0,0,2.1184,0.1524,0.139,0
361,600,0.0828,0.0693,1,0.837,0,0,0.9637,0.0693,0.139,0
361,800,0.0828,0.079,2,0.953,854.3393,0,1.0973,0.0395,0.139,0
361,1000,0.4079,1.6352,13,4.009,179.1527,49.1071,11.8056,0.6132,0.1153,0.1494
361,1200,0.7155,3.3868,22,4.7334,142.2942,53.4091,20.5605,1.9251,0.1166,0.1529
361,1400,1.1457,6.3584,35,5.5499,143.1471,66.2338,30.2602,3.9411,0.1135,0.1711
361,1600,1.3425,8.0202,49,5.9741,131.881,67.015,37.2338,4.5859,0.1079,0.2025
361,1800,1.7024,10.1847,62,5.9825,125.1696,69.4265,43.2993,6.4833,0.1124,0.1713
361,2000,1.7181,11.2992,84,6.5765,125.7747,69.1471,48.4052,6.0193,0.1118,0.1699
