id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
365,200,0,23.7086,0,0,0,0,0,0,0,0
365,400,0,23.7086,0,0,0,0,0,0,0,0
365,600,0.4501,0.3916,1,0.8701,0,0,2.8068,0.3916,0.0759,0
365,800,0.7112,0.3488,1,0.4905,0,0,3.0714,0.3488,0.0881,0
365,1000,0.3412,3.3304,31,9.7601,83.5734,83.7352,21.0304,1.7942,0.2748,0.3006
365,1200,0.3674,10.8657,135,29.5715,25.1888,81.1241,84.4858,3.7626,0.3132,0.22
365,1400,0.2933,14.9843,317,51.0921,23.6495,79.4279,130.7201,4.5212,0.3205,0.202
365,1600,0.2763,17.8156,522,64.4826,24.1834,77.9746,165.0868,4.5618,0.3246,0.1943
365,1800,0.2945,20.7359,721,70.4165,23.9929,78.2437,189.5029,5.6245,0.3242,0.1957
365,2000,0.3242,23.7086,924,73.1296,23.7043,78.8139,212.1701,6.4745,0.3222,0.2001
