id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
385,200,1.5441,70.2873,6,45.5192,25.8891,94.1813,157.4938,65.3819,0.1664,0.5404
385,400,1.6841,62.09,19,36.8693,22.2849,93.627,180.5313,53.1636,0.2367,0.3916
385,600,2.2092,57.5196,30,26.0365,21.6021,92.8279,171.5782,46.0638,0.2291,0.4119
385,800,2.6941,59.478,45,22.0768,21.3347,93.2244,168.6589,44.809,0.2439,0.3789
385,1000,2.7473,58.8175,68,21.4089,23.3815,93.5093,162.3991,42.622,0.2643,0.3345
385,1200,2.0571,54.06,120,26.2798,23.8372,92.3853,175.1813,37.6502,0.2826,0.2906
385,1400,1.6247,50.2784,192,30.9461,25.173,91.6128,179.15,32.4023,0.2919,0.2666
385,1600,1.4264,47.9109,272,33.5885,24.8636,91.0032,182.2136,31.5254,0.2934,0.2631
385,1800,1.4865,47.1674,325,31.7303,26.2486,91.2651,172.6907,29.23,0.2966,0.2556
385,2000,1.471,47.1587,405,32.0581,27.7889,91.5113,168.1589,27.6424,0.3009,0.2449
