id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
388,200,11.417,85.6549,1,7.5024,0,0,162.2369,85.6549,0.0323,0
388,400,7.5374,87.3662,6,11.591,22.6322,96.6121,124.9541,86.7238,0.2628,0.3357
388,600,2.782,79.7033,33,28.6493,25.7542,95.6906,147.1023,77.899,0.3328,0.176
388,800,1.8283,70.0372,78,38.3064,26.7834,94.2603,171.8557,67.1521,0.3277,0.1857
388,1000,1.7831,67.3636,120,37.7782,25.183,92.7539,204.7495,56.1533,0.3166,0.2129
388,1200,1.6033,64.9422,185,40.5065,23.9423,91.7587,221.8626,52.8962,0.3164,0.211
388,1400,1.6252,65.4539,250,40.2752,23.8469,91.807,222.4799,49.006,0.3128,0.2206
388,1600,1.5161,65.5365,350,43.2259,23.7043,91.5903,229.8935,44.5173,0.3173,0.2097
388,1800,1.5329,65.4342,437,42.6858,23.7054,91.4833,232.6697,40.0823,0.3192,0.2069
388,2000,1.5037,63.9119,537,42.5032,24.3369,91.2973,233.2614,44.5924,0.3156,0.2135
