id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
396,200,9.8726,68.0473,1,6.8925,0,0,153.4828,68.0473,0.0374,0
396,400,19.7882,73.0586,2,3.692,82.8728,88.6234,114.6672,72.9002,0.0787,0.4161
396,600,22.1061,74.1007,4,3.3521,62.0583,89.3734,102.8802,71.3669,0.0764,0.4284
396,800,40.0914,76.8408,4,1.9166,65.5167,91.1209,93.2215,73.8379,0.0793,0.4103
396,1000,40.4634,75.0133,6,1.8539,65.7889,90.1604,100.307,74.2175,0.0805,0.3926
396,1200,34.2022,73.587,10,2.1515,64.0805,89.4529,105.9068,73.2176,0.1019,0.2173
396,1400,26.1334,70.3316,17,2.6913,70.3794,88.6635,109.3283,69.0813,0.0976,0.2637
396,1600,19.4078,68.4914,29,3.5291,69.2519,88.0309,112.2444,67.1438,0.1049,0.2027
396,1800,18.8171,67.1691,37,3.5696,69.4871,87.6302,113.6338,65.4133,0.0989,0.2487
396,2000,16.6075,66.3528,51,3.9953,68.9818,87.1704,115.4337,63.8375,0.0978,0.2599
