id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
399,200,5.1509,70.5882,2,13.704,58.5999,83.4862,128.4884,69.4118,0.0671,0.4555
399,400,18.4146,67.7725,2,3.6804,105.6426,87.5,119.6967,67.4566,0.0625,0.494
399,600,21.312,72.1657,4,3.3862,65.5167,88.2934,110.3759,68.532,0.0815,0.3926
399,800,52.1961,75.4031,3,1.4446,65.5167,90.4829,97.0701,71.8892,0.0616,0.537
399,1000,81.3275,75.2848,3,0.9257,72.9778,90.1201,100.2645,75.2318,0.0963,0.2912
399,1200,48.5169,73.0563,7,1.5058,59.5881,89.3527,106.3284,72.8347,0.0998,0.2338
399,1400,24.9963,71.2286,18,2.8496,70.3276,88.9039,107.844,70.3996,0.0995,0.2261
399,1600,22.6847,68.9994,25,3.0417,66.9437,88.2366,112.4705,67.1402,0.1015,0.2254
399,1800,21.8619,67.5929,32,3.0918,70.3705,87.7397,113.577,65.7515,0.0932,0.2884
399,2000,18.0867,66.5994,47,3.6822,69.4822,87.1863,116.176,63.9427,0.0932,0.2901
