id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
410,200,14.5283,100,1,6.8831,0,0,0,100,0.0112,0
410,400,53.2985,100,1,1.8762,0,0,0,100,0.0059,0
410,600,118.4224,100,1,0.8444,0,0,0,100,0.004,0
410,800,208.9708,100,1,0.4785,0,0,0,100,0.0031,0
410,1000,324.7747,100,1,0.3079,0,0,0,100,0.0025,0
410,1200,466.0032,100,1,0.2146,0,0,0,100,0.0021,0
410,1400,630.6289,100,1,0.1586,0,0,0,100,0.0018,0
410,1600,820.5102,100,1,0.1219,0,0,0,100,0.0016,0
410,1800,1037.083,100,1,0.0964,0,0,0,100,0.0014,0
410,2000,1276.9687,100,1,0.0783,0,0,0,100,0.0013,0
