id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
423,200,8.479,61.8182,1,7.2907,0,0,121.919,61.8182,0.0313,0
423,400,17.3737,64.9068,2,3.7359,64.47,89.6855,105.021,64.5963,0.062,0.5036
423,600,6.4943,43.7063,8,6.7299,70.8533,89.1667,79.0695,40,0.1018,0.2556
423,800,6.0406,34.88,12,5.7743,78.0404,86.1045,73.8072,23.6,0.0839,0.3659
423,1000,7.9163,31.817,13,4.0192,74.5803,83.9085,74.5199,15.1632,0.0727,0.4415
423,1200,5.927,25.5556,20,4.3117,86.989,83.0331,66.7571,10.5735,0.0842,0.3579
423,1400,3.6391,20.8025,36,5.7163,85.7809,81.0221,59.5614,7.7878,0.0932,0.2978
423,1600,2.9894,18.9386,52,6.3353,88.8746,79.4963,56.2023,5.9753,0.094,0.2917
423,1800,2.8419,17.5405,64,6.172,92.966,79.1219,53.3576,4.7298,0.0951,0.2845
423,2000,2.4702,15.6604,81,6.3397,104.2421,77.8791,50.3446,3.8386,0.0992,0.2592
