id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
434,200,2.8521,39.5062,2,13.8516,149.2718,91.9643,80.6384,35.8025,0.0445,0.6274
434,400,2.903,38,7,13.0898,85.741,81.8824,84.2981,10.8333,0.0561,0.5732
434,600,4.8129,44.5277,11,9.2517,78.2848,86.1282,82.61,16.7166,0.0529,0.589
434,800,6.5955,47.0339,15,7.1312,76.7904,87.9238,78.9142,19.2373,0.0487,0.6122
434,1000,10.0826,49.6434,16,4.9237,81.2002,89.502,69.5459,22.271,0.0338,0.7292
434,1200,14.0141,51.3249,17,3.6624,105.278,91.8352,56.92,35.2535,0.0448,0.6501
434,1400,16.4041,51.9695,20,3.1681,133.8845,92.5967,52.067,42.4255,0.0416,0.6684
434,1600,19.3084,51.6752,22,2.6763,107.5946,92.867,51.7166,41.6567,0.0389,0.6894
434,1800,17.5375,50.7523,30,2.8939,99.4446,92.482,52.0395,39.5925,0.041,0.67
434,2000,17.9395,50.5335,36,2.8169,99.1253,92.3748,52.3966,36.9273,0.0504,0.6018
