id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
443,200,13.7787,100,1,7.2576,0,0,0,100,0.0113,0
443,400,54.3991,100,1,1.8383,0,0,0,100,0.0059,0
443,600,118.819,100,1,0.8416,0,0,0,100,0.004,0
443,800,209.0069,100,1,0.4785,0,0,0,100,0.0031,0
443,1000,324.6049,100,1,0.3081,0,0,0,100,0.0025,0
443,1200,464.4499,100,1,0.2153,0,0,0,100,0.0021,0
443,1400,630.4207,100,1,0.1586,0,0,0,100,0.0018,0
443,1600,821.8017,100,1,0.1217,0,0,0,100,0.0016,0
443,1800,1037.519,100,1,0.0964,0,0,0,100,0.0014,0
443,2000,1278.8254,100,1,0.0782,0,0,0,100,0.0013,0
