id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
453,200,4.5393,64.9123,2,14.3002,57.1974,94,87.9278,59.6491,0.04,0.6765
453,400,6.843,38.3206,3,5.6,78.5763,89.3617,74.7378,30.687,0.0398,0.6814
453,600,3.4828,35.1203,12,10.0838,73.9479,81.3525,90.8411,20.6186,0.0789,0.398
453,800,4.7582,38.7387,17,8.1415,76.1092,82.7676,96.5588,19.4673,0.0687,0.4704
453,1000,4.5862,38.1841,27,8.3258,79.5842,81.7288,99.5645,16.3178,0.0803,0.3959
453,1200,4.2074,38.9026,43,9.2463,72.0433,82.5826,94.7653,12.8034,0.0929,0.3097
453,1400,5.4577,41.6082,48,7.6238,76.4244,83.6777,93.1171,23.1878,0.0914,0.3204
453,1600,6.7067,43.3862,53,6.4691,77.1062,84.8248,92.1552,21.9826,0.0906,0.3246
453,1800,6.3392,43.4951,71,6.8613,72.9289,84.9314,91.728,19.491,0.0885,0.3383
453,2000,6.6884,44.592,85,6.6671,72.3292,85.4023,91.5889,17.9176,0.0882,0.3437
