id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
492,200,10.738,77.4194,1,7.2099,0,0,109.9938,77.4194,0.0234,0
492,400,5.3242,58.7171,6,11.0283,68.0879,80.4734,149.5529,55.2632,0.0839,0.3207
492,600,15.4627,65.0602,5,4.2076,59.8274,80.5273,166.6439,63.7801,0.0971,0.2598
492,800,14.022,67.1092,10,4.786,65.4899,82.1218,157.0541,65.4818,0.1012,0.2338
492,1000,14.705,67.9063,15,4.6179,64.8861,83.8302,143.3876,66.2259,0.105,0.2078
492,1200,20.1449,69.4027,16,3.4452,68.7505,86.2064,126.3106,68.1118,0.1047,0.2044
492,1400,26.0817,70.3436,17,2.697,65.5054,87.0611,120.3063,69.4776,0.1093,0.1755
492,1600,20.9026,68.6663,27,3.2851,68.6799,87.3705,116.9395,67.7518,0.1116,0.1527
492,1800,15.1168,67.026,46,4.4339,68.1821,87.3153,113.8344,65.1544,0.1033,0.213
492,2000,14.8683,66.2678,57,4.457,67.1261,87.7047,108.2739,63.581,0.1003,0.2319
