id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
548,200,0.0774,0.5618,1,7.2614,0,0,8.0791,0.5618,0.1438,0
548,400,0.2432,3.1746,7,13.0559,131.6462,35.2941,31.6459,1.5873,0.1217,0.131
548,600,0.2553,2.1415,10,8.3876,140.0417,37.037,21.2305,0.7138,0.1116,0.175
548,800,0.2653,1.7719,14,6.6797,122.0811,39.0244,16.8545,0.4061,0.1126,0.1762
548,1000,0.2514,1.2413,16,4.9369,121.1565,38.2022,11.9296,0.2626,0.112,0.175
548,1200,0.2514,0.8683,16,3.4531,121.1565,38.2022,8.4042,0.1837,0.112,0.175
548,1400,0.2503,0.6768,17,2.7037,128.0092,37.8947,6.5471,0.1354,0.111,0.1778
548,1600,0.2503,0.5181,17,2.0698,128.0092,37.8947,5.0121,0.1036,0.111,0.1778
548,1800,0.2503,0.4108,17,1.6411,128.0092,37.8947,3.9741,0.0822,0.111,0.1778
548,2000,0.4298,0.9086,27,2.1139,105.7729,53.8182,5.858,0.2181,0.1074,0.2082
