id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
567,200,11.3993,81.5287,1,7.1521,0,0,106.7177,81.5287,0.022,0
567,400,8.0151,58.8235,4,7.3391,82.0666,85.3372,123.1962,58.0065,0.0899,0.2842
567,600,37.0922,61.8871,2,1.6685,59.6848,81.9652,144.8919,61.7385,0.0642,0.4715
567,800,27.1267,65.2808,5,2.4065,61.0938,84.5298,133.0033,64.9807,0.0963,0.2513
567,1000,19.6573,66.5753,11,3.3868,65.9261,85.4951,126.7972,65.2043,0.0943,0.262
567,1200,16.4615,67.1382,19,4.0785,66.1348,85.7639,126.8372,66.1441,0.1085,0.164
567,1400,13.0802,66.4781,32,5.0823,68.4389,86.0073,124.5108,64.7666,0.1077,0.1685
567,1600,10.4179,63.5002,50,6.0953,72.7674,85.8034,122.9999,60.4169,0.1057,0.1846
567,1800,10.9154,63.0271,60,5.7741,67.2537,85.1128,124.9565,60.0703,0.101,0.2138
567,2000,9.7727,63.4262,83,6.4902,67.3519,85.3481,124.4934,59.4708,0.1021,0.2072
