id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
576,200,9.3189,67.3077,1,7.2227,0,0,64.5518,67.3077,0.016,0
576,400,8.143,60.0655,4,7.3764,75.6866,92.8058,65.9253,52.0458,0.0651,0.4848
576,600,18.0831,60.5048,4,3.3459,74.4088,91.4758,71.0214,49.5174,0.0294,0.7509
576,800,22.4009,53.725,5,2.3983,70.8609,92.2104,66.0193,45.1682,0.0667,0.4921
576,1000,11.9297,44.0951,12,3.6963,89.6477,91.3196,57.9943,37.0694,0.0914,0.2979
576,1200,10.8799,39.6952,17,3.6485,104.0396,90.5545,53.0038,29.8667,0.0856,0.3345
576,1400,15.6203,42.1171,17,2.6963,109.2958,90.5856,54.0076,25.2393,0.0871,0.3369
576,1600,14.3546,40.2641,23,2.805,118.0166,90.8718,52.9718,26.3773,0.0907,0.3055
576,1800,14.9546,37.4733,26,2.5058,134.9415,91.3547,46.8864,22.2479,0.0954,0.2655
576,2000,11.3092,35.3885,40,3.1292,95.5855,90.976,45.3526,18.6836,0.1008,0.2277
