id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
577,200,13.934,100,1,7.1767,0,0,0,100,0.0111,0
577,400,54.0497,99.5098,1,1.8411,0,0,2.7424,99.5098,0.0061,0
577,600,52.7184,87.5461,2,1.6606,59.5824,98.2661,28.4466,87.3987,0.0701,0.5165
577,800,23.9038,69.0894,6,2.8903,117.8482,97.3977,37.3126,68.7046,0.0999,0.2461
577,1000,12.2241,56.479,15,4.6203,78.664,94.0856,52.4885,53.0891,0.0956,0.2824
577,1200,8.9935,46.3326,24,5.1518,111.8458,92.4029,54.7405,42.5224,0.0989,0.2542
577,1400,6.2866,41.866,42,6.6596,87.3809,90.0171,59.5192,36.3918,0.1028,0.2211
577,1600,5.7134,39.032,56,6.8317,96.9501,88.8701,62.0749,33.8566,0.1041,0.2073
577,1800,4.8139,36.6396,79,7.6112,87.5665,86.7164,68.3394,30.714,0.1044,0.203
577,2000,4.3567,34.7274,102,7.9711,82.4729,85.4538,69.2153,26.9732,0.1062,0.1911
