id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
586,200,14.9566,100,1,6.686,0,0,0,100,0.0111,0
586,400,50.4455,94.8419,1,1.8801,0,0,20.1351,94.8419,0.0072,0
586,600,24.0059,81.0912,4,3.378,97.6001,97.7662,29.1426,80.7175,0.0941,0.2989
586,800,26.4323,75.6757,6,2.863,103.2854,96.9991,33.6429,74.3243,0.0871,0.3565
586,1000,16.9581,67.5617,13,3.984,94.9277,95.9853,43.2147,65.8801,0.1041,0.2211
586,1200,14.2347,58.3763,19,4.101,81.6909,95.2341,44.5624,56.447,0.1021,0.2316
586,1400,8.1897,50.6669,39,6.1866,86.8442,93.4057,51.3443,47.0588,0.1019,0.2261
586,1600,5.458,44.4636,67,8.1465,86.1375,91.26,56.8983,38.147,0.1049,0.2042
586,1800,5.3898,42.094,81,7.8099,90.8022,90.5501,55.2449,31.2057,0.103,0.2142
586,2000,5.4752,41.5899,97,7.5961,88.0116,90.4111,55.3291,26.0864,0.1051,0.2
