id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
595,200,2.301,30.9524,2,13.4516,84.1432,73.0337,126.0542,29.7619,0.0908,0.355
595,400,2.832,36.6612,7,12.9452,120.1802,79.9043,100.1282,27.0049,0.0798,0.4019
595,600,4.8282,36.6966,9,7.6004,74.3241,81.3234,94.4622,22.4963,0.0835,0.3815
595,800,3.1168,34.2205,23,10.9795,87.2641,82.5336,85.7758,19.7719,0.0995,0.2523
595,1000,2.3988,28.1267,38,11.7251,97.4789,79.6491,82.5216,14.1726,0.1003,0.2397
595,1200,2.2463,26.5298,55,11.8104,95.73,78.6897,78.7021,9.8632,0.1013,0.2355
595,1400,2.1874,23.265,67,10.6358,87.0081,78.1734,72.4425,7.5302,0.1026,0.2244
595,1600,2.0131,20.3251,83,10.0963,97.0552,77.0941,65.7887,6.7069,0.1034,0.218
595,1800,1.7204,17.7535,107,10.3195,96.6046,75.9833,60.2513,5.9491,0.1033,0.2141
595,2000,1.5365,16.0036,133,10.4159,91.048,74.0544,58.385,5.4269,0.1043,0.2081
