id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
607,200,0.3138,6.8783,3,21.9205,152.4867,72.2222,37.3583,3.7037,0.0832,0.3611
607,400,0.6276,13.941,12,22.2143,97.0646,60.9626,79.7034,4.5576,0.097,0.2903
607,600,0.9172,18.5933,24,20.2714,87.5178,70.1571,80.6875,7.2171,0.0997,0.2787
607,800,1.6155,22.4809,29,13.9155,89.8701,80.3701,68.1771,9.173,0.0995,0.2748
607,1000,1.9262,23.7978,40,12.3551,102.8482,83.8506,59.8444,10.8477,0.1069,0.2307
607,1200,1.8753,23.8155,59,12.6993,85.4569,83.2382,62.7857,10.1309,0.1042,0.2532
607,1400,1.9937,23.7848,75,11.9298,86.8465,82.9661,61.7222,10.9883,0.104,0.2543
607,1600,2.103,24.6181,96,11.7064,88.277,83.5283,61.3291,11.1347,0.1048,0.2518
607,1800,2.2961,26.6047,120,11.5871,91.068,84.2105,62.8283,12.1172,0.1048,0.2535
607,2000,2.381,28.1926,151,11.8409,87.0209,84.7482,64.4226,13.2531,0.1062,0.2456
