id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
609,200,13.9898,100,1,7.148,0,0,0,100,0.0113,0
609,400,53.8268,100,1,1.8578,0,0,0,100,0.006,0
609,600,119.9373,100,1,0.8338,0,0,0,100,0.004,0
609,800,208.7387,100,1,0.4791,0,0,0,100,0.0031,0
609,1000,324.1549,100,1,0.3085,0,0,0,100,0.0025,0
609,1200,464.3945,100,1,0.2153,0,0,0,100,0.0021,0
609,1400,630.8224,100,1,0.1585,0,0,0,100,0.0018,0
609,1600,804.5012,98.0557,1,0.1219,0,0,2.2427,98.0557,0.0016,0
609,1800,164.6223,95.1907,6,0.5782,76.0411,99.4421,8.1346,94.1713,0.0755,0.4241
609,2000,73.6866,92.3987,16,1.2539,75.0031,99.0805,12.3376,90.1391,0.1019,0.2348
