id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
641,200,5.2349,76.6038,2,14.6334,45.4203,88.5942,141.2385,75.8491,0.0812,0.4876
641,400,18.1802,69.05,2,3.7981,45.4203,91.1504,126.7949,68.8541,0.0768,0.5147
641,600,5.9672,50.4579,10,8.4558,78.2315,87.3051,121.557,45.7479,0.0915,0.4234
641,800,3.8106,47.5731,26,12.4844,57.0929,84.9227,126.9308,40.3418,0.1079,0.3358
641,1000,3.6889,45.7175,40,12.3932,55.7186,83.7044,133.4083,35.4107,0.1086,0.3329
641,1200,4.7312,46.1952,45,9.764,53.8213,82.6996,142.9995,30.7184,0.1055,0.3513
641,1400,5.4378,45.9577,53,8.4516,55.7053,80.9632,154.2737,26.0301,0.1045,0.3562
641,1600,5.3979,44.9164,68,8.321,58.1669,80.7536,155.2625,22.6381,0.1118,0.3184
641,1800,3.9291,41.8185,110,10.6433,62.4214,79.6091,151.7068,18.8532,0.1092,0.3285
641,2000,3.4628,40.1998,148,11.6089,63.0979,78.8147,151.3435,15.4254,0.106,0.3448
