id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
647,200,12.7906,92.8839,1,7.2619,0,0,36.282,92.8839,0.0146,0
647,400,5.0028,74.7592,8,14.9435,55.8261,95.0535,66.1771,72.2543,0.11,0.3084
647,600,7.2205,73.4908,12,10.1781,53.6867,93.5021,88.6057,63.1671,0.0909,0.4258
647,800,6.1823,68.4969,23,11.0796,61.8354,91.5496,103.4917,56.1242,0.1033,0.357
647,1000,6.275,64.3326,33,10.2523,57.8957,90.7883,107.5254,49.6395,0.0964,0.3948
647,1200,5.6299,60.8269,50,10.8042,66.697,89.8588,109.6291,45.7149,0.1043,0.3515
647,1400,6.1799,61.0887,62,9.8851,65.9666,90.0375,106.8876,48.5404,0.1056,0.3446
647,1600,7.0142,60.9288,71,8.6865,66.842,90.4735,103.4424,48.0881,0.1003,0.3757
647,1800,7.4883,60.1978,83,8.0389,66.6123,89.8501,108.0429,46.7206,0.0957,0.402
647,2000,7.8702,59.9781,97,7.6209,71.4915,90.0204,106.2157,46.1202,0.0976,0.388
