id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
664,200,3.1653,44.5087,2,14.0613,103.3833,85.2941,133.0512,43.9306,0.0863,0.3684
664,400,1.2567,16.311,7,12.9789,84.23,75.6477,69.6448,12.5,0.0892,0.3026
664,600,0.9107,10.0069,13,10.9882,109.0795,70.8333,46.7754,5.6984,0.0854,0.3309
664,800,1.0576,11.1593,22,10.5515,106.6957,69.5489,48.5452,3.2334,0.0943,0.2793
664,1000,1.1145,12.3921,36,11.1191,81.0406,65.0913,62.4359,2.2854,0.0901,0.3103
664,1200,0.9929,11.1625,52,11.2421,89.4247,63.5685,59.0764,1.5997,0.094,0.2773
664,1400,1.0715,10.4085,61,9.7139,96.1447,64.5793,53.5142,1.2045,0.093,0.2863
664,1600,1.1272,10.4639,76,9.2829,95.3173,66.8153,49.9073,1.657,0.0951,0.2733
664,1800,1.2164,10.3481,88,8.507,103.0445,68.0363,47.7037,2.2175,0.0971,0.2597
664,2000,1.267,11.1233,112,8.7791,100.4392,69.5962,47.4912,2.5585,0.0974,0.2598
