id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
680,200,1.6471,34.5679,3,20.9868,122.4771,81.4433,89.3558,30.8642,0.0781,0.3661
680,400,6.6841,49.2683,4,7.371,62.9163,88.4413,78.2763,23.9024,0.0491,0.6084
680,600,11.7182,49.2216,5,4.2005,147.253,91.2226,61.3893,26.5382,0.0398,0.6716
680,800,11.5691,49.6633,9,4.2927,146.8603,91.4448,57.9491,28.1987,0.0497,0.5797
680,1000,21.6406,53.2863,8,2.4623,188.0353,92.3598,54.4005,31.396,0.0361,0.7049
680,1200,26.4188,56.9202,10,2.1545,158.9825,93.1439,51.2644,31.2738,0.0421,0.6628
680,1400,41.9626,59.8267,9,1.4257,138.559,93.641,49.9741,31.3251,0.0364,0.6988
680,1600,70.7425,60.3441,7,0.853,176.787,94.6632,45.3925,54.5376,0.0469,0.6288
680,1800,47.2215,59.2438,13,1.2546,147.8118,95.1335,39.9052,53.6405,0.0653,0.4877
680,2000,48.6749,60.9657,16,1.2525,186.0887,95.213,38.322,52.6836,0.0471,0.6249
