id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
723,200,0.7918,22.9333,4,28.9638,75.3621,81.6993,104.2181,21.3333,0.1383,0.2934
723,400,0.5487,20.7088,20,37.7395,50.4417,73.0838,122.7587,9.451,0.1294,0.3219
723,600,0.6671,19.9497,35,29.9048,58.7896,71.8159,121.1724,4.2794,0.1236,0.3501
723,800,1.0748,25.4993,49,23.7255,51.3796,75.1078,130.6443,8.2204,0.1243,0.347
723,1000,1.559,27.7197,57,17.78,59.285,81.5951,107.9295,10.9018,0.1283,0.3293
723,1200,2.0612,29.5378,66,14.3302,60.887,84.627,97.2097,12.0422,0.1202,0.3645
723,1400,1.9387,29.4436,95,15.1874,63.6876,85.2637,91.6396,11.4218,0.1245,0.3447
723,1600,2.5555,32.8969,105,12.873,58.606,86.5079,91.852,12.8273,0.1199,0.3662
723,1800,3.0819,35.8938,120,11.6468,61.4034,87.8741,90.4463,13.2109,0.1189,0.3698
723,2000,3.8574,38.8575,128,10.0735,63.4524,89.0678,88.5173,13.3641,0.1199,0.3662
