id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
727,200,0.4051,2.9973,1,7.3988,0,0,19.8781,2.9973,0.0663,0
727,400,0.4419,4.9896,6,11.2905,148.5758,71.6535,31.4171,2.4255,0.1022,0.4336
727,600,1.4731,12.6342,10,8.5766,143.6334,81.7105,50.3644,9.0019,0.0988,0.4734
727,800,2.2681,18.6266,17,8.2122,92.3775,84.1301,65.4492,11.4215,0.0965,0.4782
727,1000,1.9433,18.1724,30,9.3515,88.892,83.8626,64.7849,9.7004,0.112,0.4104
727,1200,1.9345,21.42,51,11.0724,85.1014,83.8028,72.3702,9.4507,0.1031,0.4538
727,1400,2.0841,23.6548,71,11.3499,78.1926,84.0561,79.1484,10.0966,0.1034,0.4501
727,1600,2.5223,26.6239,86,10.5556,71.2815,86.1689,77.5641,9.2257,0.1046,0.4442
727,1800,2.4495,27.7988,117,11.3487,70.2919,86.6966,78.8877,8.3411,0.1077,0.4288
727,2000,2.3567,27.8377,150,11.8121,71.7814,86.2593,80.9397,7.0124,0.1082,0.4213
