id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
749,200,0.6069,13.2597,3,21.8482,100.9914,73.6842,60.1769,5.5249,0.0629,0.5056
749,400,2.4428,22.3922,5,9.1667,100.6007,85.1351,59.0805,17.1071,0.0684,0.4874
749,600,2.109,17.707,10,8.396,126.5555,82.1839,55.5007,12.8662,0.0758,0.4241
749,800,2.2491,18.354,17,8.1606,100.0507,79.7508,56.4565,7.5018,0.0673,0.4864
749,1000,2.0862,18.1091,28,8.6804,96.52,78.2345,60.4543,4.8448,0.074,0.4424
749,1200,1.9923,17.9964,42,9.033,102.1165,78.0739,59.6522,3.3611,0.0786,0.4185
749,1400,1.8978,18.9811,63,10.0018,86.7299,75.944,66.0718,3.0712,0.0821,0.3949
749,1600,2.4508,21.5291,72,8.7846,94.3199,79.4731,64.9246,3.2025,0.081,0.4053
749,1800,2.4795,22.7823,95,9.1883,88.5111,80.6986,63.9343,4.1456,0.0833,0.3861
749,2000,2.8761,25.4153,113,8.8369,85.2604,82.3515,64.6396,6.5971,0.0859,0.3691
