id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
805,200,2.0862,29.7297,2,14.2506,137.7156,84.2105,96.1637,27.5676,0.0632,0.4845
805,400,2.4086,17.9379,4,7.4473,137.7156,82.684,56.9215,7.3446,0.0619,0.5633
805,600,1.5118,17.8275,14,11.792,94.7717,77.4809,59.8539,5.8786,0.07,0.4778
805,800,1.4475,17.3518,25,11.9878,86.441,77.5824,59.4326,5.0564,0.0842,0.3878
805,1000,2.2616,22.3891,32,9.8995,89.8824,80.2817,63.8201,5.4447,0.073,0.456
805,1200,2.7241,25.8381,44,9.4848,91.5856,82.3701,67.0323,7.7024,0.0812,0.4068
805,1400,3.2275,29.231,57,9.0569,83.0182,82.824700000000007,71.992,8.3775,0.0821,0.3996
805,1600,3.5053,31.2286,73,8.9091,82.6202,84.8695,69.1444,10.4527,0.0838,0.3867
805,1800,3.9387,33.1158,87,8.4077,83.3949,85.9422,68.0085,12.2874,0.0828,0.394
805,2000,4.5292,35.8161,101,7.9078,83.2049,86.9624,67.0885,14.4987,0.0825,0.3948
