id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
834,200,0.1517,1.0811,1,7.1253,0,0,11.7752,1.0811,0.1089,0
834,400,1.5678,8.7571,3,5.5855,143.7462,73.1481,43.5886,6.9209,0.0724,0.455
834,600,1.8966,9.5969,6,5.0602,180.2559,77.8182,37.1662,6.4619,0.0701,0.4709
834,800,1.9851,11.4265,12,5.7562,166.3553,78.2095,38.7113,4.6943,0.0727,0.4453
834,1000,3.3112,17.4138,17,5.2591,122.4663,81.7355,46.4378,4.1305,0.069,0.4818
834,1200,4.6759,22.175,22,4.7424,115.0755,84.0409,52.4265,4.3336,0.0623,0.5299
834,1400,5.1537,25.3949,31,4.9275,117.6629,86.2864,51.0474,6.8009,0.0638,0.5158
834,1600,5.7111,27.1877,39,4.7605,108.9819,86.6042,54.028,12.7882,0.0689,0.4855
834,1800,6.4499,29.2897,47,4.5411,97.5379,86.9676,55.619,13.1716,0.0668,0.49370000000000003
834,2000,6.3881,31.508,63,4.9323,100.0966,87.7102,56.7987,14.1058,0.071,0.4627
